#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.34
60;200;200;0;49.15;0;60;0;0.34
119.9;200;200;0;77.7;0;114.71;0;0.3
179.62;200;200;0;106.16;0;158.12;0;0.39
239.82;200;200;0;133.05;0;218.93;0;0.46
299.76;200;200;0;168.88;0;264.08;0;0.48
359.93;200;200;0;169.7;0;264.57;0;0.48
419.78;200;200;0;199.32;0;341.28;0;0.53
479.76;200;200;0;215.82;0;443.68;0;0.52
539.98;200;200;0;224.75;0;403.56;0;0.56
600;200;200;0;255.07;0;433.38;0;0.51
659.95;200;200;0;271.03;0;477.49;0;0.56
719.95;200;200;0;295.71;0;524.04;0;0.6
779.92;200;200;0;269.01;0;478.25;0;0.63
839.98;200;200;0;289.95;0;606.76;0;0.63
899.96;200;200;0;301.86;0;664.03;0;0.65
959.82;200;200;0;306.21;0;686.39;0;0.65
1019.69;200;200;0;307.85;0;773.07;0;0.65
1079.63;200;200;0;286.58;0;828.57;0;0.65
1139.99;200;198;0;318.52;0;864.97;0;0.69
1199.78;200;188;0;306.87;0;892.33;0;0.73
1259.69;200;177;0;268.15;0;854.6;0;0.77
1319.68;200;166;0;293.77;0;979.33;0;0.76
1379.62;200;153;0;291.03;0;1081.12;0;0.74
1439.87;200;141;0;341.89;0;1247.8;0;0.71
1499.82;200;136;0;337.02;0;1283.4;0;0.74
1559.99;200;125;0;304.38;0;1235.19;0;0.79
1619.98;200;114;0;329.45;0;1331.5;0;0.77
1679.99;200;98;0;323.01;0;1216.24;0;0.67
1739.98;200;92;0;372.33;0;1405.74;0;0.76
1799.88;200;80;0;395.44;0;1479.08;0;0.71
