#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;87.23;0.04;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.69;86.92;0.15;PP/0,TA/0.09,IS/0,PS/0.03,RB/0,OB/0.02,RP/0
119.82;86.39;0.23;PP/0,TA/0.15,IS/0,PS/0.08,RB/0,OB/0.02,RP/0
179.86;86.39;0.27;PP/0.01,TA/0.17,IS/0,PS/0.09,RB/0,OB/0.02,RP/0
239.68;86.39;0.32;PP/0.01,TA/0.19,IS/0,PS/0.1,RB/0,OB/0.03,RP/0
299.73;86.39;0.36;PP/0.01,TA/0.21,IS/0,PS/0.1,RB/0,OB/0.03,RP/0
359.7;86.25;0.4;PP/0.01,TA/0.22,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
419.78;80.29;0.5;PP/0.02,TA/0.26,IS/0,PS/0.11,RB/0,OB/0.04,RP/0
479.67;70.95;0.55;PP/0.02,TA/0.28,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
539.63;66.39;0.58;PP/0.02,TA/0.29,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
599.96;64.72;0.61;PP/0.02,TA/0.29,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
659.77;64.32;0.63;PP/0.03,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
719.65;64.32;0.66;PP/0.03,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
779.7;63.71;0.69;PP/0.03,TA/0.31,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
839.61;63.44;0.72;PP/0.03,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
899.86;63.16;0.75;PP/0.03,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
959.73;63.09;0.78;PP/0.04,TA/0.33,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1019.96;63.09;0.81;PP/0.04,TA/0.34,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1079.94;63.09;0.84;PP/0.04,TA/0.34,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1139.87;62.98;0.87;PP/0.04,TA/0.35,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1199.95;62.79;0.89;PP/0.05,TA/0.36,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1259.63;62.66;0.92;PP/0.05,TA/0.36,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1319.96;62.46;0.95;PP/0.05,TA/0.37,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1379.9;62.36;0.97;PP/0.05,TA/0.37,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1439.91;62.35;1;PP/0.06,TA/0.37,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1499.76;62.35;1.02;PP/0.06,TA/0.38,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1559.73;62.35;1.04;PP/0.06,TA/0.38,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1619.76;62.35;1.07;PP/0.07,TA/0.39,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1679.98;62.35;1.09;PP/0.08,TA/0.39,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1739.92;62.07;1.12;PP/0.08,TA/0.4,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1799.72;62.07;1.14;PP/0.08,TA/0.4,IS/0,PS/0.16,RB/0,OB/0.09,RP/0
