#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.34
59.81;200;200;0;50.35;0;59.81;0;0.35
119.99;200;200;0;88.1;0;118.02;0;0.38
179.8;200;200;0;108.73;0;172.34;0;0.4
239.79;200;200;0;126.32;0;208.52;0;0.44
299.78;200;200;0;153.35;0;259.02;0;0.44
360;200;200;0;174.06;0;300.37;0;0.54
419.8;200;200;0;186.37;0;336;0;0.57
479.75;200;200;0;209.31;0;422.06;0;0.52
539.59;200;200;0;206.17;0;435.52;0;0.6
599.86;200;200;0;218.19;0;454.35;0;0.58
659.87;200;200;0;242.53;0;507.21;0;0.62
719.93;200;200;0;266.15;0;534.08;0;0.59
779.66;200;200;0;227.38;0;481.44;0;0.58
839.87;200;200;0;225.24;0;512.91;0;0.63
899.93;200;200;0;267.82;0;575.43;0;0.64
959.9;200;200;0;297.23;0;666.04;0;0.65
1019.83;200;200;0;314.24;0;651.49;0;0.69
1079.77;200;188;0;343.51;0;752.2;0;0.68
1139.8;200;173;0;359.01;0;859.41;0;0.64
1199.87;200;159;0;381.84;0;941.33;0;0.6
1259.81;200;147;0;391.15;0;1043.19;0;0.6
1319.79;200;144;0;342.26;0;1075.55;0;0.55
1379.82;200;133;0;261.9;0;1198.88;0;0.6
1439.85;200;129;0;252.41;0;1183.44;0;0.62
1499.85;200;121;0;281.85;0;1206.14;0;0.62
1559.96;200;111;0;289;0;1251.35;0;0.67
1619.88;200;100;0;279.53;0;1204.06;0;0.69
1679.96;200;85;0;310.59;0;1379.88;0;0.69
1739.67;200;80;0;341.96;0;1406.06;0;0.7
1799.92;200;70;0;333.64;0;1406.75;0;0.75
