#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.87;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.89;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.64;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
239.94;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
299.97;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
359.9;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
419.64;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.63;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.98;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
599.94;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
659.8;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
719.74;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
779.59;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
839.72;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.75;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
959.78;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1019.68;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1079.76;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1139.89;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1199.84;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1259.74;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.9;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1379.8;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1439.74;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1499.67;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1559.77;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1619.68;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1679.82;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1739.71;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1799.72;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
