#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.37
59.95;200;200;0;49;0;59.95;0;0.39
119.76;200;200;0;91.28;0;119.76;0;0.39
179.76;200;200;0;113.16;0;155.53;0;0.46
239.82;200;200;0;130.99;0;224.4;0;0.47
299.71;200;200;0;150.59;0;260.23;0;0.53
359.78;200;200;0;184.84;0;298;0;0.53
419.85;200;200;0;191.25;0;316.46;0;0.51
479.8;200;200;0;221.97;0;379.16;0;0.56
539.73;200;200;0;242.05;0;422.08;0;0.55
599.96;200;200;0;245.04;0;424.08;0;0.57
659.88;200;200;0;253.8;0;507.46;0;0.61
719.97;200;200;0;287.09;0;542.48;0;0.59
779.79;200;200;0;309.61;0;631.36;0;0.66
839.85;200;200;0;313.09;0;639.41;0;0.71
899.88;200;200;0;286.45;0;614.91;0;0.71
959.96;200;200;0;339.52;0;680.1;0;0.67
1019.68;200;200;0;314.57;0;675.21;0;0.7
1079.83;200;200;0;356.64;0;730.02;0;0.68
1139.88;200;197;0;424.19;0;812.54;0;0.7
1199.9;200;183;0;441.03;0;840.19;0;0.74
1259.8;200;173;0;454.09;0;1018.32;0;0.7
1319.99;200;164;0;428.8;0;1115.77;0;0.7
1379.73;200;149;0;406.11;0;1222.47;0;0.76
1439.93;200;142;0;427.31;0;1266.37;0;0.73
1499.91;200;132;0;410.58;0;1275.88;0;0.73
1559.81;200;123;0;406.02;0;1301.74;0;0.76
1619.62;200;118;0;399.3;0;1351.84;0;0.74
1679.83;200;111;0;408.2;0;1369.8;0;0.75
1739.98;200;99;0;381.56;0;1525.37;0;0.71
1799.68;200;96;0;410.83;0;1505.81;0;0.72
