#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
44.17;0;44.17;44.17;-8855.67
48.22;0;48.22;48.22;-9295.59
56.49;0;56.49;12.24;-10386.12
58.81;2;58.81;58.81;-9760.14
60.46;0;60.46;16.22;-10231.94
62.9;2;62.9;62.9;-9767.62
64.51;0;64.51;16.22;-10394.06
66.98;2;66.98;10.25;-10423.03
68.87;0;68.87;12.14;-10954.86
68.87;1;68.87;68.87;-9343.4
71.37;2;71.37;12.52;-10651.98
73;0;73;12.19;-11082.78
75.82;2;75.82;12.85;-10740.84
77;1;77;77;-9591.27
77.36;0;77.36;12.5;-11171.82
79.82;2;79.82;12.43;-10968.59
81.92;0;81.92;12.98;-11991.36
83.92;2;14.98;12.36;-8713.84
85.66;1;85.66;20.81;-8746.96
88.28;2;19.35;12.38;-10120.11
90.04;1;90.04;21.11;-10415.45
92.04;0;92.04;92.04;-8927.17
92.53;2;92.53;12.58;-11584.45
94.26;1;94.26;16.9;-11210.32
96.21;0;96.21;96.21;-9205.25
98.26;1;98.26;12.48;-12317.95
99.79;2;99.79;99.79;-9654.72
100.04;0;100.04;100.04;-9239.28
102.04;1;13.64;11.85;-11378.33
103.95;2;103.95;103.95;-9722.25
106.42;1;14.13;12.12;-11901.98
108.04;0;108.04;30.27;-10941.61
110.84;1;14.51;12.49;-9787.27
115.28;1;20.97;12.88;-10608.33
119.3;1;18.93;12.84;-11756.93
123.46;1;30.64;12.58;-11973.95
123.93;2;123.93;27.6;-8844.58
124.51;0;42.55;36.11;-9948
127.94;2;127.94;28.1;-9875.91
128.97;0;128.97;36.69;-10244.91
131.94;2;131.94;27.94;-10194.89
133.53;0;133.53;37.2;-10248.6
135.98;2;135.98;11.94;-10292.67
137.73;0;137.73;37.36;-10253.8
140;2;140;11.91;-10389.13
144.04;2;144.04;11.9;-10594.39
146.33;1;146.33;146.33;-9272.19
148.28;2;148.28;12.11;-10932.88
150.42;1;150.42;150.42;-9308.37
152.33;2;152.33;12.11;-10936.63
154.78;1;154.78;154.78;-9479.25
156.25;0;156.25;156.25;-9233.6
156.37;2;156.37;12.11;-11128.59
160.04;0;160.04;78.08;-11979.44
160.42;2;160.42;12.09;-11551.66
170.88;1;170.88;26.62;-9870.83
174.88;1;174.88;28.51;-9998.36
176.14;2;176.14;176.14;-9635.14
176.23;0;176.23;42.59;-9667.29
178.93;1;178.93;28.13;-10351.66
182.73;1;96.95;27.89;-10393.28
184.23;0;184.23;44.01;-9840.7
186.7;1;31.86;15.77;-9064.61
191.12;1;191.12;16.15;-10404.9
195.48;1;55.25;16.46;-10431.52
196.05;0;131.19;66.82;-8950.79
199.32;1;199.32;16.26;-10445.6
203.57;1;20.51;16.46;-10250.57
203.97;2;43.51;33.05;-9438.65
207.32;1;207.32;16.16;-10493.61
208.23;2;208.23;32.05;-10440.45
211.74;1;121.55;16.16;-10491.51
212.1;0;212.1;35.68;-10946.65
212.23;2;212.23;8;-10436.93
216.06;1;59.64;16.43;-10895.38
216.26;0;216.26;31.8;-9110.89
216.32;2;216.32;8.04;-11089.75
220.21;1;161.36;16.54;-11113.78
220.26;0;220.26;28.68;-9784.77
220.37;2;220.37;8.04;-11199.28
224.38;0;135.98;28.24;-10010.26
224.42;2;224.42;8.06;-11202.72
228.34;0;228.34;16.1;-10098.75
228.47;2;228.47;8.06;-11736.32
230.59;1;230.59;230.59;-9248.84
232.54;0;232.54;16.22;-10320.89
234.64;1;234.64;115.18;-10970.98
236.63;0;236.63;16.27;-10643.51
236.63;2;12.21;12.16;-12016.18
238.79;1;238.79;238.79;-9424.19
240.79;0;163.02;16.37;-10766.87
244.1;2;244.1;151.28;-10381.73
244.98;0;244.98;16.51;-11080.47
246.61;1;246.61;34.82;-10079.46
248.34;2;248.34;248.34;-9589.88
249.07;0;192.34;16.2;-11280.97
253.49;0;253.49;16.57;-11375.29
257.94;0;257.94;16.97;-11778.62
260.43;2;260.43;19.46;-11783.41
262.54;0;262.54;17.51;-12159.79
262.7;1;50.46;38.27;-10134.08
264.36;2;264.36;20.22;-11923.13
266.59;0;266.59;17.14;-12355.96
266.74;1;46.48;35.87;-10706.24
268.67;2;192.76;20.11;-12178.32
270.42;0;205.56;16.55;-12971.6
271.1;1;94.92;36.18;-10774.04
275.48;1;147.39;36.52;-10974.66
279.29;1;139.07;32.28;-11093.62
282.76;0;282.76;282.76;-8811.1
283.36;1;283.36;20.31;-11354.62
287.7;1;287.7;20.6;-11758.34
289.87;2;289.87;289.87;-9426.21
291.85;1;25.2;20.7;-11815.19
293.9;2;293.9;56.98;-10975.96
308.14;1;308.14;308.14;-9324.16
312.39;1;312.39;96.29;-10949.99
313.77;2;134.76;26.03;-9651.57
316.1;1;171.83;36.49;-8811.06
317.82;2;167.02;27.87;-9714.84
320.51;1;104.15;36.86;-9570.28
322.26;2;322.26;28.28;-9794.22
324.85;1;280.61;16.46;-12132.43
326.61;2;326.61;12.56;-10815.37
329.07;1;329.07;20.68;-10522.01
330.82;2;122.54;12.72;-11444.85
335.13;2;10.03;9.99;-9407.44
335.66;0;335.66;335.66;-8911.36
338.99;2;13.84;12.14;-11092.4
347.76;0;135.98;20.62;-9729.14
352.18;0;113.22;16.46;-10226.7
356.32;0;131.85;8.42;-10729.05
358.12;2;358.12;93.47;-9799.47
358.32;1;358.32;70.57;-9732.22
360.36;0;360.36;8.04;-11050.73
362.09;2;362.09;362.09;-9443
362.36;1;362.36;142.1;-9419.36
364.41;0;364.41;8.04;-11196.75
368.47;0;222.1;8.06;-11264.05
370.44;1;370.44;45.34;-10394.45
372.91;0;43.76;8.46;-11274.11
374.3;2;199.33;39.11;-10384.78
377.33;0;274.93;8.81;-11513.24
378.45;2;133.42;22.09;-9545.37
382.45;2;382.45;24.13;-9791.87
382.67;1;302.72;53.52;-9197.54
384.17;0;384.17;384.17;-8709.68
386.49;2;149.58;24.13;-10370.11
387;1;387;30.64;-10467.75
388.37;0;388.37;388.37;-8830.23
390.51;2;28.15;16.07;-10176.08
394.54;2;394.54;16.04;-10976.72
398.78;2;194.55;16.16;-11907.84
400.46;0;400.46;17.84;-9730.06
403.09;2;20.47;16.42;-9631.08
404.28;0;116.54;19.87;-9920.1
407.13;2;24.23;16.42;-11499.19
407.34;1;407.34;407.34;-8996.74
408.63;0;100.24;20.18;-9978.6
411.76;1;311.92;95.25;-12224.19
412.7;0;38.26;12.19;-10205.15
414.93;2;414.93;20.17;-12213.81
416.7;0;149.6;12.07;-10468.62
420.04;1;216.37;57.64;-9802.39
420.7;0;81.46;12.02;-11344.82
427.34;2;20.05;20;-10591.18
434.42;2;296.48;273.96;-9623.97
