#TimeStamp;Runtime;Requests
0.88;0;6
4.43;0;1
5.52;0;2
6.81;0;2
8.6;0;1
9.9;0;1
11.69;0;1
12.69;0;2
13.73;0;2
14.73;0;1
15.78;0;2
16.78;0;2
17.82;0;1
18.86;0;2
19.91;0;2
20.91;0;2
21.95;0;3
23;0;2
24.04;0;2
25.09;0;2
26.13;0;2
27.18;0;2
28.19;0;3
29.28;0;1
30.86;0;1
31.93;0;1
33.02;0;1
34.39;0;2
35.48;0;2
36.59;0;1
37.94;0;1
39.23;0;1
40.25;0;2
41.65;0;1
49.6;0;1
51.38;0;1
52.69;0;1
53.78;0;1
54.85;0;1
56.44;0;1
58.34;0;1
61.01;0;1
64.28;0;1
65.36;0;1
66.74;0;1
68.83;0;1
71.28;0;1
72.33;0;1
75.91;0;1
78.78;0;1
80.4;0;1
89.9;0;1
90.95;0;1
99.79;0;2
102.39;0;1
103.48;0;1
113.13;0;1
114.35;0;1
116.39;0;1
120.56;0;1
133.48;0;1
136.22;0;1
138.27;0;1
140.4;0;1
144.57;0;1
145.66;0;1
147.1;0;1
148.33;0;1
149.77;0;1
158.42;0;1
159.42;0;1
160.42;0;1
169.54;0;1
170.88;0;1
171.97;0;1
173.02;0;1
175.47;0;1
179.18;0;1
181.06;0;1
182.68;0;2
184.06;0;2
187.56;0;1
192.85;0;1
200;0;1
202.09;0;1
203.1;0;1
205.97;0;1
215.59;0;1
218.41;0;1
219.54;0;2
225.12;0;1
227.25;0;1
229.92;0;1
231.29;0;1
235.54;0;1
240;0;1
242.58;0;1
245.71;0;1
250.08;0;1
255.96;0;1
266.2;0;1
267.61;0;1
268.67;0;1
271.1;0;1
272.12;0;1
273.15;0;1
274.24;0;1
281.63;0;1
282.71;0;1
285.07;0;2
291.55;0;2
293.85;0;1
295.21;0;1
296.5;0;1
298.47;0;1
299.68;0;2
305.47;0;1
308.39;0;1
309.77;0;1
310.85;0;1
311.89;0;1
312.89;0;1
314.05;0;1
316.06;0;1
317.15;0;1
320;0;1
322.22;0;1
323.3;0;1
327.98;0;1
331.48;0;2
335.19;0;1
337.36;0;1
338.73;0;1
339.81;0;1
340.86;0;1
342.43;0;1
349.97;0;1
354.36;0;1
356.32;0;1
357.45;0;1
360.81;0;1
362.04;0;1
367.82;0;1
370.91;0;1
373.83;0;1
374.91;0;1
376;0;1
378.41;0;1
379.49;0;1
385.95;0;1
386.95;0;1
388.33;0;1
390.95;0;1
392.25;0;1
394.25;0;1
395.31;0;2
396.85;0;1
398.16;0;1
400;0;1
405;0;1
408.17;0;1
409.38;0;1
413.83;0;1
421.35;0;1
424.26;0;1
426.3;0;1
427.3;0;1
428.6;0;1
429.73;0;1
431.4;0;1
432.49;0;1
435.99;0;1
437.32;0;1
438.9;0;1
441.24;0;1
442.57;0;1
448.41;0;1
449.74;0;1
452.74;0;1
453.83;0;2
455;0;1
458.03;0;1
459.28;0;1
462.78;0;1
464.2;0;1
465.33;0;1
466.37;0;1
469.04;0;1
473.42;0;1
474.53;0;2
475.58;0;2
476.82;0;1
477.95;0;1
479.04;0;1
480.09;0;1
481.18;0;1
483.21;0;1
485.08;0;1
486.46;0;1
488.75;0;1
494.97;0;1
495.97;0;1
497.01;0;2
499.68;0;1
503.01;0;1
504.15;0;3
506.19;0;1
508.06;0;1
512.48;0;1
515.65;0;1
516.98;0;1
517.98;0;1
519.05;0;1
520.42;0;1
521.72;0;1
525.15;0;1
526.18;0;1
