#TimeStamp;Bot;Pod;OutputStation
46.68;2;12;0
49.72;3;54;2
51.1;2;12;0
53.77;3;54;2
55.52;2;12;0
57.62;3;54;2
59.59;2;12;0
61.82;3;54;2
63.28;5;35;1
63.69;2;12;0
66.24;3;54;2
67.37;5;35;1
67.86;2;12;0
70.49;3;54;2
71.48;5;35;1
72.28;2;12;0
74.61;3;54;2
75.9;5;35;1
76.61;2;12;0
80.32;5;35;1
81.03;2;12;0
82.29;1;29;2
84.38;5;35;1
85.45;2;12;0
86.21;1;29;2
88.8;5;35;1
89.75;2;12;0
90.04;1;29;2
93.22;5;35;1
93.95;2;12;0
94.33;1;29;2
97.42;5;35;1
98.33;2;12;0
98.38;1;29;2
101.64;5;35;1
102.41;2;12;0
102.41;1;29;2
106.06;5;35;1
106.06;1;29;2
106.45;2;12;0
110.33;1;29;2
110.45;5;35;1
110.87;2;12;0
114.45;1;29;2
114.87;5;35;1
115.29;2;12;0
118.5;1;29;2
119.29;5;35;1
119.71;2;12;0
122.54;1;29;2
123.71;5;35;1
124;2;12;0
126.59;1;29;2
128;5;35;1
130.67;1;29;2
130.71;4;14;0
131.71;5;35;1
134.67;1;29;2
134.71;4;14;0
135.93;5;35;1
138.67;1;29;2
138.71;4;14;0
140;5;35;1
142.85;4;14;0
147.09;4;14;0
147.89;0;55;1
150.98;4;14;0
151.97;0;55;1
155.13;4;14;0
156.02;0;55;1
158.79;4;14;0
160.06;0;55;1
162.99;4;14;0
163.18;3;33;2
164.11;0;55;1
167.03;4;14;0
167.48;3;33;2
168.15;0;55;1
170.77;4;14;0
171.68;3;33;2
172.2;0;55;1
175.08;4;14;0
175.85;3;33;2
176.62;0;55;1
179.18;4;14;0
180.04;3;33;2
180.66;0;55;1
183.22;4;14;0
184.27;3;33;2
184.45;0;55;1
187.27;4;14;0
188.45;3;33;2
191.31;4;14;0
192.71;3;33;2
195.36;4;14;0
199.4;4;14;0
199.87;5;3;1
203.46;4;14;0
203.88;5;3;1
207.88;4;14;0
207.93;5;3;1
212.03;5;3;1
214.88;2;44;0
216.09;5;3;1
218.95;2;44;0
220.52;5;3;1
222.59;1;40;2
223.15;2;44;0
224.59;5;3;1
226.57;1;40;2
227.19;2;44;0
228.64;5;3;1
230.64;1;40;2
231.24;2;44;0
232.68;5;3;1
