#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;114.64;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.68;114.64;0.13;PP/0.01,TA/0.09,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.99;114.33;0.28;PP/0.01,TA/0.2,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
179.93;114.29;0.34;PP/0.01,TA/0.24,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
239.99;114.25;0.39;PP/0.01,TA/0.27,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
299.85;114.11;0.42;PP/0.02,TA/0.27,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
359.79;114.02;0.47;PP/0.02,TA/0.29,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
419.96;114.01;0.5;PP/0.02,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
479.86;114.01;0.53;PP/0.02,TA/0.3,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
539.83;113.89;0.56;PP/0.03,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
599.85;113.69;0.6;PP/0.03,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
659.85;113.67;0.63;PP/0.03,TA/0.33,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
719.78;113.67;0.65;PP/0.03,TA/0.33,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
779.74;113.67;0.69;PP/0.04,TA/0.34,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
839.97;113.63;0.72;PP/0.04,TA/0.35,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
899.96;113.43;0.74;PP/0.04,TA/0.36,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
959.81;113.36;0.79;PP/0.04,TA/0.38,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1019.6;113.34;0.81;PP/0.04,TA/0.38,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1079.86;113.34;0.84;PP/0.05,TA/0.39,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1139.94;113.13;0.88;PP/0.05,TA/0.4,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1199.9;113.07;0.91;PP/0.05,TA/0.41,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
1259.87;113.03;0.93;PP/0.06,TA/0.42,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
1319.86;112.97;0.96;PP/0.06,TA/0.42,IS/0,PS/0.18,RB/0,OB/0.08,RP/0
1379.6;112.97;0.99;PP/0.06,TA/0.43,IS/0,PS/0.18,RB/0,OB/0.08,RP/0
1439.95;112.97;1.02;PP/0.07,TA/0.44,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
1499.67;112.97;1.04;PP/0.07,TA/0.44,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
1559.98;112.97;1.07;PP/0.08,TA/0.45,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
1619.75;112.97;1.11;PP/0.09,TA/0.45,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
1679.99;112.97;1.13;PP/0.09,TA/0.45,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
1739.97;112.72;1.15;PP/0.09,TA/0.46,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
1799.85;112.48;1.18;PP/0.1,TA/0.46,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
