#TimeStamp;TripTime;Type
36;18;O
48;13;O
51;26;O
61;18;O
78;19;O
83;31;O
171;25;O
187;24;O
189;15;O
208;21;O
209;13;O
231;21;O
279;19;O
317;16;O
330;18;O
358;24;O
374;23;O
374;26;O
409;15;O
437;25;O
437;8;O
466;14;O
495;26;O
502;18;O
524;17;O
528;20;O
533;16;O
540;25;O
623;18;O
624;17;O
644;33;O
654;27;O
674;19;O
699;11;O
704;28;O
721;6;O
725;13;O
746;19;O
752;13;O
802;21;O
816;15;O
824;11;O
830;22;O
870;14;O
904;24;O
910;25;O
910;7;O
939;11;O
980;20;O
987;22;O
996;20;O
998;18;O
1014;19;O
1059;30;O
1085;17;O
1088;24;O
1102;21;O
1123;24;O
1153;34;O
1168;6;O
1181;24;O
1194;25;O
1202;15;O
1233;15;O
1266;30;O
1278;23;O
1282;17;O
1300;18;O
1322;24;O
1339;28;O
1354;7;O
1357;20;O
1383;20;O
1406;14;O
1424;20;O
1441;14;O
1453;14;O
1467;17;O
1484;13;O
1543;23;O
1546;67;O
1566;24;O
1571;15;O
1572;27;O
1599;27;O
1632;18;O
1645;13;O
1647;22;O
1656;22;O
1690;22;O
1712;23;O
1714;35;O
1721;19;O
1733;20;O
1741;19;O
1769;15;O
1789;16;O
1794;23;O
1798;25;O
