#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.92;0;0;1;3;0/59.92;0/48.69,1/51.56,2/59.92;0/59.92;0/59.92,1/59.92,2/59.92;0/0;0/7,1/10,2/11;0/0;0/16,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/3,2/0
119.86;0;3;1;3;0/119.86;0/55.72,1/60.73,2/70.84;0/119.86;0/119.86,1/119.86,2/119.86;0/0;0/6,1/8,2/16;0/0;0/14,1/13,2/18;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/17,1/16,2/13
179.83;0;5;1;3;0/179.83;0/62.18,1/68.29,2/110.22;0/179.83;0/179.83,1/179.83,2/179.83;0/0;0/13,1/12,2/12;0/0;0/18,1/15,2/19;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/1;0/0;0/32,1/30,2/18
239.94;0;9;1;3;0/239.94;0/83.79,1/98.85,2/120.66;0/239.94;0/239.94,1/239.94,2/239.94;0/0;0/10,1/8,2/12;0/0;0/15,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/42,1/38,2/31
299.85;0;12;1;3;0/299.85;0/91.06,1/106.77,2/128.11;0/299.85;0/299.85,1/299.85,2/299.85;0/0;0/12,1/12,2/13;0/0;0/15,1/22,2/16;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/55,1/51,2/45
359.77;0;14;1;3;0/359.77;0/105.72,1/110.33,2/134.15;0/359.77;0/359.77,1/359.77,2/359.77;0/0;0/11,1/10,2/14;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/5;0/0;0/67,1/66,2/59
419.92;0;16;1;3;0/419.92;0/140.18,1/116.73,2/184.01;0/419.92;0/419.92,1/419.92,2/419.92;0/0;0/7,1/12,2/8;0/0;0/13,1/19,2/18;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/5;0/0;0/74,1/80,2/61
479.64;0;19;1;3;0/479.64;0/147.74,1/137.39,2/192.27;0/479.64;0/479.64,1/479.64,2/479.64;0/0;0/6,1/11,2/8;0/0;0/12,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/6;0/0;0/87,1/90,2/75
539.96;0;22;1;3;0/539.96;0/154.81,1/152,2/211.51;0/539.96;0/539.96,1/539.96,2/539.96;0/0;0/7,1/8,2/11;0/0;0/14,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/7;0/0;0/101,1/102,2/85
599.97;0;25;1;3;0/599.97;0/163.51,1/162.04,2/241.31;0/599.97;0/599.97,1/599.97,2/599.97;0/0;0/14,1/10,2/12;0/0;0/18,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/8;0/0;0/115,1/115,2/93
659.91;0;29;1;3;0/659.91;0/204.94,1/203.68,2/286.66;0/659.91;0/659.91,1/659.91,2/659.91;0/0;0/8,1/8,2/9;0/0;0/14,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/10,2/10;0/0;0/119,1/120,2/97
719.98;0;32;1;3;0/719.98;0/211.26,1/244.65,2/292.64;0/719.98;0/719.98,1/719.98,2/719.98;0/0;0/8,1/8,2/16;0/0;0/13,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/10,1/11,2/11;0/0;0/133,1/125,2/111
779.95;0;34;1;3;0/779.95;0/220.05,1/251.15,2/352.13;0/779.95;0/779.95,1/779.95,2/779.95;0/0;0/9,1/9,2/11;0/0;0/14,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/11,1/12,2/11;0/0;0/147,1/139,2/111
