#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.44
59.99;200;200;0;52.5;0;58.49;0;0.45
119.74;200;200;0;75.79;0;116.79;0;0.4
179.87;200;200;0;106.94;0;163.75;0;0.45
239.99;200;200;0;135.79;0;220.43;0;0.47
299.79;200;200;0;170.11;0;276.6;0;0.44
359.87;200;200;0;189.29;0;314.22;0;0.4
419.66;200;200;0;204.43;0;341.33;0;0.45
479.84;200;200;0;185.59;0;382.64;0;0.59
539.98;200;200;0;215.49;0;417.24;0;0.52
599.9;200;200;0;213.18;0;436.37;0;0.54
659.67;200;200;0;215.2;0;438.52;0;0.58
719.94;200;200;0;270;0;495.58;0;0.6
779.84;200;200;0;232.63;0;548.39;0;0.62
839.67;200;200;0;248.84;0;599.73;0;0.7
899.99;200;200;0;250.33;0;652.65;0;0.7
959.96;200;200;0;259.09;0;629.72;0;0.71
1019.99;200;200;0;259.28;0;591.19;0;0.74
1079.85;200;198;0;291.6;0;735.53;0;0.67
1139.67;200;185;0;315.16;0;971.12;0;0.59
1199.79;200;171;0;331.33;0;925.74;0;0.61
1259.83;200;162;0;327.01;0;968.12;0;0.63
1319.62;200;144;0;342.37;0;952.78;0;0.61
1379.97;200;129;0;340.93;0;1213.53;0;0.59
1439.98;200;120;0;373.98;0;1195.12;0;0.66
1499.6;200;114;0;380.85;0;1193.52;0;0.72
1559.93;200;104;0;387.66;0;1307.2;0;0.73
1619.93;200;98;0;403.5;0;1308.99;0;0.79
1679.92;200;93;0;430.08;0;1324.12;0;0.76
1739.98;200;84;0;453.61;0;1415.75;0;0.72
1799.99;200;77;0;466.13;0;1474.94;0;0.68
