#TimeStamp;Bot;Pod;OutputStation
56.57;2;57;0
60.67;2;57;0
64.08;3;48;2
65.01;2;57;0
68.13;3;48;2
69.38;2;57;0
72.55;3;48;2
73.8;2;57;0
76.89;3;48;2
78.23;2;57;0
79.01;5;18;1
80.69;3;48;2
82.65;2;57;0
83.1;5;18;1
84.74;3;48;2
86.69;2;57;0
87.52;5;18;1
88.97;3;48;2
90.97;2;57;0
91.47;5;18;1
93.03;3;48;2
95.03;2;57;0
95.59;5;18;1
97.45;3;48;2
101.51;3;48;2
101.97;4;41;0
103.42;0;33;1
105.55;3;48;2
106.16;4;41;0
107.51;0;33;1
109.97;3;48;2
110.22;4;41;0
111.55;0;33;1
114.18;3;48;2
114.64;4;41;0
115.6;0;33;1
118.6;4;41;0
118.6;3;48;2
119.53;0;33;1
122.45;4;41;0
122.69;3;48;2
123.53;0;33;1
126.62;4;41;0
127.11;3;48;2
127.64;0;33;1
130.61;4;41;0
131.57;3;48;2
131.69;0;33;1
134.69;4;41;0
135.69;3;48;2
135.73;0;33;1
138.73;4;41;0
139.77;0;33;1
142.61;1;42;2
142.78;4;41;0
143.82;0;33;1
146.79;1;42;2
146.84;4;41;0
147.86;0;33;1
150.84;1;42;2
150.94;4;41;0
151.91;0;33;1
154.88;1;42;2
154.98;4;41;0
155.95;0;33;1
158.93;1;42;2
159.03;4;41;0
159.91;0;33;1
162.88;1;42;2
163.07;4;41;0
164;0;33;1
166.97;1;42;2
167.11;4;41;0
171.01;5;59;1
171.01;1;42;2
171.16;4;41;0
175.06;5;59;1
175.06;1;42;2
175.15;4;41;0
179.08;5;59;1
179.13;1;42;2
182.51;2;8;0
183.09;5;59;1
183.2;1;42;2
186.92;2;8;0
187.17;5;59;1
187.25;1;42;2
191.05;2;8;0
191.29;1;42;2
195.04;2;8;0
199.06;2;8;0
199.26;3;19;2
202.96;2;8;0
203.67;3;19;2
207.1;2;8;0
208.09;3;19;2
211.18;2;8;0
212.43;3;19;2
215.6;2;8;0
216.51;3;19;2
219.64;2;8;0
220.55;3;19;2
220.84;0;3;1
223.73;2;8;0
224.49;3;19;2
225.01;0;3;1
227.98;2;8;0
228.61;3;19;2
229.11;0;3;1
232.4;2;8;0
232.45;3;19;2
233.16;0;3;1
236.45;2;8;0
236.82;3;19;2
240.87;3;19;2
244.89;3;19;2
257.68;4;14;0
261.59;4;14;0
265.77;4;14;0
270.19;4;14;0
270.44;5;17;1
273.98;4;14;0
274.55;5;17;1
276.45;1;12;2
278.4;4;14;0
278.56;5;17;1
280.56;1;12;2
282.58;4;14;0
282.58;5;17;1
284.62;1;12;2
286.62;4;14;0
286.62;5;17;1
288.54;1;12;2
290.36;5;17;1
290.67;4;14;0
292.66;1;12;2
294.26;5;17;1
294.71;4;14;0
296.73;1;12;2
298.26;5;17;1
298.76;4;14;0
300.77;1;12;2
302.68;5;17;1
302.8;4;14;0
304.8;1;12;2
306.8;4;14;0
306.8;5;17;1
308.84;1;12;2
310.84;5;17;1
312.82;1;12;2
314.89;5;17;1
320;2;24;0
320.04;3;4;2
321.81;0;51;1
324;2;24;0
324.09;3;4;2
325.77;0;51;1
328.04;2;24;0
328.51;3;4;2
329.97;0;51;1
332.46;2;24;0
332.86;3;4;2
334.02;0;51;1
336.57;2;24;0
337.28;3;4;2
337.7;0;51;1
340.74;2;24;0
341.57;3;4;2
341.9;0;51;1
344.74;2;24;0
345.7;3;4;2
346.06;0;51;1
348.86;2;24;0
350.06;3;4;2
352.87;2;24;0
357.07;2;24;0
361.49;2;24;0
365.92;2;24;0
370.38;2;24;0
374.41;1;54;2
374.62;2;24;0
378.46;1;54;2
378.8;2;24;0
382.38;1;54;2
382.84;2;24;0
386.35;1;54;2
386.92;2;24;0
390.5;1;54;2
391.26;2;24;0
394.33;1;54;2
395.43;2;24;0
398.59;1;54;2
399.41;2;24;0
402.98;1;54;2
403.44;5;23;1
406.66;4;59;0
407.02;1;54;2
407.58;5;23;1
410.67;4;59;0
411.44;1;54;2
412;5;23;1
414.87;4;59;0
415.86;5;23;1
415.86;1;54;2
419.29;4;59;0
420.09;5;23;1
420.16;1;54;2
423.34;4;59;0
423.88;5;23;1
424.58;1;54;2
427.38;4;59;0
428.16;5;23;1
428.62;1;54;2
431.46;4;59;0
432.58;5;23;1
433.04;1;54;2
435.67;4;59;0
437.04;5;23;1
437.46;1;54;2
439.71;4;59;0
441.48;5;23;1
441.52;1;54;2
443.76;4;59;0
445.52;5;23;1
445.76;1;54;2
449.77;5;23;1
449.82;1;54;2
453.82;5;23;1
454.09;1;54;2
458.09;5;23;1
461.6;3;25;2
462.51;5;23;1
463.1;2;5;0
465.77;3;25;2
466.6;5;23;1
467.17;2;5;0
469.64;3;25;2
470.76;5;23;1
471.18;2;5;0
473.82;3;25;2
475.59;2;5;0
477.63;3;25;2
477.86;0;0;1
479.83;2;5;0
481.82;3;25;2
481.86;0;0;1
483.86;2;5;0
485.69;3;25;2
485.91;0;0;1
487.92;2;5;0
489.86;3;25;2
489.95;0;0;1
491.94;2;5;0
493.62;3;25;2
493.99;0;0;1
495.95;2;5;0
497.99;0;0;1
499.95;2;5;0
501.99;0;0;1
503.99;2;5;0
505.74;1;48;2
506.08;0;0;1
508.04;2;5;0
509.99;1;48;2
510.09;0;0;1
512.32;2;5;0
514.09;0;0;1
516.37;2;5;0
518.32;0;0;1
520.79;2;5;0
522.37;0;0;1
525.21;2;5;0
526.41;0;0;1
529.63;2;5;0
530.46;0;0;1
534.05;2;5;0
534.51;0;0;1
538.47;2;5;0
538.64;0;0;1
542.64;2;5;0
545.97;5;6;1
549.27;4;38;0
550.22;5;6;1
551.73;3;29;2
553.68;4;38;0
554.68;5;6;1
555.77;3;29;2
557.73;4;38;0
558.52;5;6;1
559.86;3;29;2
561.46;4;38;0
562.83;5;6;1
564;3;29;2
565.68;4;38;0
567.25;5;6;1
568.42;3;29;2
569.72;4;38;0
571.51;5;6;1
572.84;3;29;2
573.72;4;38;0
575.67;5;6;1
577.26;3;29;2
577.77;4;38;0
579.71;5;6;1
581.82;4;38;0
585.15;1;13;2
585.86;4;38;0
589.2;1;13;2
589.94;4;38;0
592.99;1;13;2
597.24;1;13;2
597.75;0;47;1
601.28;1;13;2
602.15;0;47;1
605.33;1;13;2
606.57;0;47;1
609.41;1;13;2
610.65;0;47;1
615.07;0;47;1
617.09;2;11;0
619.49;0;47;1
621.14;2;11;0
623.77;0;47;1
625.26;2;11;0
627.89;0;47;1
629.4;2;11;0
632.03;0;47;1
633.42;2;11;0
636.45;0;47;1
637.54;2;11;0
638.09;3;28;2
640.49;0;47;1
641.82;2;11;0
642.28;3;28;2
644.91;0;47;1
646.22;2;11;0
646.38;3;28;2
649.19;0;47;1
650.3;2;11;0
650.57;3;28;2
653.26;0;47;1
654.57;2;11;0
654.57;3;28;2
657.45;0;47;1
658.99;2;11;0
658.99;3;28;2
661.45;0;47;1
663.34;3;28;2
663.41;2;11;0
667.61;2;11;0
668.45;5;50;1
672.01;2;11;0
672.7;5;50;1
676.05;2;11;0
676.75;5;50;1
677.79;1;46;2
680.12;2;11;0
680.79;5;50;1
682.12;1;46;2
684.18;2;11;0
684.84;5;50;1
686.18;1;46;2
688.88;5;50;1
690.15;1;46;2
691.09;4;9;0
692.81;5;50;1
694.34;1;46;2
695.22;4;9;0
696.92;5;50;1
698.15;1;46;2
699.01;4;9;0
700.97;5;50;1
702.55;1;46;2
703.01;4;9;0
705.01;5;50;1
706.89;1;46;2
707.26;4;9;0
709.26;5;50;1
711.26;4;9;0
713.33;5;50;1
715.28;4;9;0
717.37;5;50;1
719.09;4;9;0
721.42;5;50;1
737.19;3;14;2
739.36;0;30;1
741.22;3;14;2
743.77;0;30;1
745.33;3;14;2
747.98;0;30;1
749.5;3;14;2
752.01;0;30;1
753.54;3;14;2
755.21;2;31;0
756;0;30;1
757.87;3;14;2
759.47;2;31;0
760.12;0;30;1
761.56;3;14;2
763.3;2;31;0
764.17;0;30;1
767.51;2;31;0
768.59;0;30;1
771.67;2;31;0
773.01;0;30;1
775.68;2;31;0
777.32;0;30;1
779.93;2;31;0
781.43;0;30;1
784.02;2;31;0
785.53;0;30;1
788.07;2;31;0
788.07;1;41;2
789.66;0;30;1
792.07;2;31;0
793.85;0;30;1
796.15;2;31;0
800.57;2;31;0
800.99;5;45;1
804.99;2;31;0
805.03;5;45;1
809.03;2;31;0
809.03;5;45;1
812.77;5;45;1
813.08;2;31;0
817.12;5;45;1
820.86;4;40;0
821.33;5;45;1
825.29;4;40;0
825.29;5;45;1
829.37;4;40;0
829.37;5;45;1
833.41;4;40;0
833.41;5;45;1
837.14;4;40;0
837.46;5;45;1
841.34;4;40;0
841.46;5;45;1
845.46;4;40;0
845.51;3;22;2
848.02;0;6;1
849.51;4;40;0
849.6;3;22;2
852.09;0;6;1
853.59;4;40;0
853.75;3;22;2
856.48;0;6;1
857.71;4;40;0
858.02;3;22;2
860.46;0;6;1
861.75;4;40;0
862.13;3;22;2
864.53;0;6;1
865.79;4;40;0
866.35;3;22;2
868.48;0;6;1
869.84;4;40;0
870.44;3;22;2
872.24;0;6;1
873.88;4;40;0
874.57;3;22;2
876.52;0;6;1
878.62;3;22;2
880.57;0;6;1
882.66;3;22;2
884.62;0;6;1
886.75;3;22;2
888.66;0;6;1
893.75;1;55;2
897.84;1;55;2
901.88;1;55;2
905.93;1;55;2
906.58;2;20;0
909.97;1;55;2
910.95;2;20;0
913.99;1;55;2
915.37;2;20;0
916.86;5;43;1
918.01;1;55;2
919.41;2;20;0
920.91;5;43;1
923.46;2;20;0
924.93;5;43;1
927.44;2;20;0
928.99;5;43;1
931.17;2;20;0
932.81;5;43;1
935.53;2;20;0
937.12;5;43;1
939.75;2;20;0
941.47;5;43;1
943.93;2;20;0
945.46;5;43;1
948.17;2;20;0
949.56;5;43;1
952.21;2;20;0
953.98;5;43;1
956.61;2;20;0
958.4;5;43;1
961.03;2;20;0
965.24;2;20;0
967.75;0;1;1
968.49;3;44;2
969.11;2;20;0
971.87;0;1;1
972.69;3;44;2
975.91;4;57;0
975.91;0;1;1
976.74;3;44;2
979.95;4;57;0
979.95;0;1;1
981.18;3;44;2
983.99;4;57;0
983.99;0;1;1
985.32;3;44;2
988.04;0;1;1
989.74;3;44;2
992.34;0;1;1
994.16;3;44;2
996.76;0;1;1
998.21;3;44;2
1000.88;0;1;1
1002.26;3;44;2
1004.93;0;1;1
1005.93;3;44;2
1009.02;0;1;1
1012.99;1;50;2
1013.35;0;1;1
1016.73;1;50;2
1021.14;1;50;2
1025.15;1;50;2
1027.28;5;53;1
1029.2;1;50;2
1031.48;5;53;1
1033.16;1;50;2
1035.9;5;53;1
1040;5;53;1
1044.04;5;53;1
1048.32;5;53;1
1051.41;4;42;0
1052.39;5;53;1
1055.69;4;42;0
1056.78;5;53;1
1059.82;4;42;0
1061.2;5;53;1
1063.87;4;42;0
1065.26;5;53;1
1067.96;4;42;0
1069.33;5;53;1
1073.49;5;53;1
1076.18;2;17;0
1077.91;5;53;1
1080.34;2;17;0
1080.59;3;56;2
1081.96;5;53;1
1084.43;2;17;0
1084.63;3;56;2
1086.38;5;53;1
1088.63;2;17;0
1089.01;3;56;2
1090.65;5;53;1
1092.68;2;17;0
1093.26;3;56;2
1094.69;5;53;1
1096.73;2;17;0
1097.32;3;56;2
1098.74;5;53;1
1100.7;2;17;0
1101.36;3;56;2
1105.41;3;56;2
1106.71;0;31;1
1110.77;0;31;1
1114.82;0;31;1
1118.66;0;31;1
1122.83;0;31;1
1122.87;1;58;2
1127.24;1;58;2
1131.66;1;58;2
1135.63;1;58;2
1138.92;4;36;0
1139.5;1;58;2
1143.09;4;36;0
1143.71;1;58;2
1147.13;4;36;0
1147.79;1;58;2
1151.55;4;36;0
1152.21;1;58;2
1155.96;4;36;0
1156.63;1;58;2
1160.09;4;36;0
1161.05;1;58;2
1164.21;4;36;0
1165.05;1;58;2
1168.64;4;36;0
1172.78;4;36;0
1173.06;3;7;2
