#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.37
59.97;200;200;0;52.26;0;59.97;0;0.37
119.73;200;200;0;81.97;0;119.73;0;0.41
179.71;200;200;0;109.5;0;179.71;0;0.49
239.92;200;200;0;135.78;0;198.1;0;0.54
299.88;200;200;0;152.5;0;232.05;0;0.52
359.64;200;200;0;176.64;0;288.4;0;0.53
419.81;200;200;0;194.63;0;345.75;0;0.55
480;200;200;0;213.38;0;411.17;0;0.59
539.93;200;200;0;215.37;0;472.01;0;0.57
599.64;200;200;0;195;0;476.86;0;0.67
659.99;200;200;0;236.22;0;528.46;0;0.68
719.86;200;200;0;264.83;0;549.62;0;0.72
779.88;200;200;0;292.37;0;568.58;0;0.72
839.96;200;200;0;302.14;0;640.47;0;0.66
899.59;200;200;0;307.67;0;586.66;0;0.72
959.96;200;200;0;351.04;0;774.76;0;0.68
1019.71;200;200;0;379.83;0;778.32;0;0.72
1079.83;200;200;0;382.97;0;862.88;0;0.63
1139.91;200;200;0;351.17;0;808.17;0;0.65
1199.83;200;200;0;357.14;0;831.15;0;0.71
1259.91;200;190;0;378.55;0;878.72;0;0.7
1319.81;200;181;0;367.5;0;924.39;0;0.66
1379.86;200;169;0;366.42;0;959.06;0;0.68
1439.98;200;166;0;407.34;0;1035.71;0;0.73
1499.6;200;158;0;424.85;0;1034.46;0;0.75
1559.83;200;141;0;429.1;0;1148.08;0;0.77
1619.76;200;142;0;429.74;0;1271.49;0;0.77
1679.94;200;141;0;464.28;0;1407.45;0;0.77
1739.9;200;128;0;450.55;0;1388.24;0;0.77
1799.6;200;124;0;464.82;0;1522.93;0;0.7
