#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
45.47;2;45.47;45.47;-9759.62
49.58;2;49.58;49.58;-9780.94
51.58;0;51.58;51.58;-9292.23
57.79;2;57.79;12.28;-10234.62
60.22;0;60.22;60.22;-8839.62
62.11;2;62.11;16.6;-10028.43
64.37;0;64.37;64.37;-8954.85
65.95;2;65.95;16.32;-10261.14
70.41;2;70.41;12.37;-10953.32
70.94;1;70.94;70.94;-9597.33
74.52;2;74.52;12.34;-11602.46
75.24;1;75.24;10.68;-8757.38
78.85;2;78.85;12.63;-12253.77
79.47;1;79.47;8.2;-9962.24
80.84;0;80.84;22.8;-9944.96
83.3;2;83.3;12.66;-12346.4
83.45;1;83.45;7.98;-10047.07
84.91;0;84.91;24.62;-10281.34
87.77;1;87.77;8.25;-10417.72
89.7;0;89.7;25.14;-10506.32
89.95;2;89.95;89.95;-9626.13
93.74;0;22.47;12.86;-10117
93.99;2;93.99;93.99;-9724.96
95.29;1;95.29;95.29;-9308.78
97.74;0;97.74;12.44;-10547.18
99.46;1;99.46;99.46;-9359.32
101.79;0;101.79;12.04;-10569.5
101.79;2;101.79;22.9;-10408.18
103.62;1;103.62;103.62;-9308.66
106.09;0;106.09;12.14;-10594.85
110.13;0;20.14;12.14;-10592.92
114.1;2;114.1;28.8;-9889.74
114.57;0;114.57;12.49;-10702.1
115.39;1;44.75;21.44;-8684.07
118.48;2;118.48;28.49;-9998
119.29;0;119.29;13.16;-10929.12
119.81;1;119.81;24.16;-8848.69
122.48;2;122.48;28.44;-10306.17
123.79;0;123.79;13.24;-10965.17
123.84;1;123.84;24.14;-9932.53
126.57;2;126.57;24.49;-10611.86
127.7;0;127.7;12.73;-11433.46
127.9;1;127.9;24.16;-10401.23
130.61;2;130.61;16.47;-11011.37
131.59;0;131.59;12.2;-12290.74
131.94;1;131.94;16.16;-10868.25
134.63;2;134.63;16.06;-11190.83
136.03;1;136.03;16.17;-11148.93
140.42;1;140.42;16.52;-11230.84
142.76;2;142.76;20.14;-11189.51
144.76;1;16.86;16.81;-9612.07
147.01;2;68.11;20.35;-12302.97
147.43;0;147.43;147.43;-9191.9
153.31;1;153.31;65.44;-10197.84
155.31;0;155.31;14.84;-11482.67
159.3;0;65.35;11.83;-11850.77
162.05;2;162.05;162.05;-9524.19
165.26;1;165.26;165.26;-9497.72
166.18;2;166.18;166.18;-9660.02
170.06;2;105.5;35.31;-8976.48
174.31;2;174.31;31.51;-11010.62
186.62;2;33.04;26.99;-9787.57
189.66;1;57.71;36.07;-10429.06
190.81;2;190.81;28.6;-9882.28
193.36;0;193.36;65.46;-10164.51
194.12;1;46.65;40.54;-10908.37
194.86;2;194.86;28.61;-10277.25
197.79;0;131.57;65.85;-10546.97
198.08;1;57.61;32.45;-11428.53
199.21;2;103.55;28.91;-10273.36
202.31;1;27.96;12.46;-10243.13
203;2;203;28.65;-10648.07
206.23;0;206.23;46.6;-10757.73
206.44;1;15.58;12.17;-10623.85
207.18;2;119.31;20.36;-11272.66
210.09;0;90.7;20.25;-9809.55
210.44;1;210.44;12.13;-11833.4
211.09;2;211.09;20.23;-11571.04
214.4;0;214.4;20.75;-10508.94
215.29;2;109.16;20.38;-11888.04
217.49;1;217.49;217.49;-9201.03
218.61;0;218.61;20.53;-11201.03
221.54;1;221.54;76.74;-10104.53
222.63;0;222.63;16.31;-11311.4
223.46;2;25.38;24.13;-9993.39
225.62;1;225.62;225.62;-9408.42
226.92;0;226.92;16.53;-11524.63
227.25;2;27.92;23.88;-11539.47
230.97;0;41.12;16.52;-12451.86
231.58;2;17.13;16.71;-9378.13
241.85;1;241.85;27.4;-11062.73
246.09;1;246.09;28.55;-12376.46
246.18;0;246.18;246.18;-8847.69
246.6;2;246.6;246.6;-9507.92
250.18;0;250.18;250.18;-8968.43
250.64;2;122.7;103.42;-9797.76
254.46;0;254.46;27.47;-10072.36
266.46;0;15.87;15.82;-9662.93
266.68;2;72.42;43.1;-10649.04
269.15;1;269.15;43.48;-10822.34
274.97;2;134.51;43.3;-8848.39
277.6;1;277.6;137.13;-10455.17
279.1;2;181.1;37.01;-9620.68
283.06;2;138.26;36.1;-9743.6
286.24;1;286.24;44.15;-11661.01
298.37;1;298.37;31.68;-9875.95
301.04;2;301.04;73.41;-10968.82
302.83;1;302.83;33.41;-10139.78
306.62;1;221.31;28.78;-10268.91
309.75;0;309.75;78.59;-10147.46
310.91;1;250.62;24.62;-10327.07
313.74;0;313.74;313.74;-8987.73
315.2;1;31.97;16.79;-10586.25
319.49;1;319.49;16.62;-10761.67
322;0;322;75.45;-10383.66
323.89;1;323.89;16.91;-10925.29
327.89;1;161.63;16.85;-11303.08
330.13;0;244.83;63.45;-9745.72
332.39;1;137.49;16.93;-11759.47
334.13;0;334.13;27.16;-10021.96
336.48;1;336.48;16.94;-11784.24
338.34;0;338.34;28.48;-10035.54
342.59;0;342.59;28.61;-10039.54
346.85;0;140.54;24.77;-10044
351.31;0;351.31;20.81;-10040.21
351.36;1;251.66;105.23;-10411.75
355.36;0;355.36;20.81;-10388.45
359.36;0;144.91;20.77;-10607.81
367.76;0;367.76;25.12;-10681.9
371.95;0;252.1;25.03;-10869.95
373.26;2;373.26;71.86;-10956.6
377.54;2;294.19;21.99;-9206.07
382.04;2;228.45;8.72;-9253.71
382.71;0;382.71;382.71;-8711.14
386.2;2;174.74;8.46;-9499.69
386.95;0;386.95;164.03;-9710.95
390.55;2;300.81;8.4;-9845.43
394.92;2;315.4;8.39;-9915.62
399.11;2;77.03;8.17;-10001.81
403.34;2;403.34;8.35;-10055.23
407.25;0;407.25;39.31;-11394.21
407.63;2;407.63;8.47;-10266.39
411.45;0;72.86;39.46;-9344.61
411.92;2;331.03;8.51;-10598.85
412.16;1;412.16;79.66;-11366.71
415.82;0;321.78;33.67;-10307.52
416.08;2;250.45;8.34;-10618.51
416.36;1;416.36;209.83;-9526.99
419.87;0;317.79;36.96;-11458.06
420.55;2;420.55;8.39;-10885.52
420.78;1;420.78;84.24;-9360.94
424;0;330.05;37.01;-11674.55
425.13;2;238.32;8.77;-11035.48
425.2;1;51.89;17.46;-9857.7
429.55;2;429.55;8.77;-11276.45
429.62;1;429.62;17.26;-10025.21
434;1;434;17.22;-10214.69
436.09;2;436.09;224.62;-9721.51
442.06;1;442.06;20.85;-10322.84
443.76;2;443.76;164.58;-9912.07
446.14;1;446.14;20.52;-10434
450.22;1;172.38;20.43;-10806.03
451.8;2;451.8;22.17;-10193.19
454.31;1;402.69;20.22;-11070.62
456.19;2;30.57;22.11;-12187.45
458.35;1;90.41;16.22;-11335.87
462.35;0;462.35;410.73;-9390.02
466.83;0;466.83;466.83;-8923.02
468.52;1;468.52;140.31;-10313.57
470.87;0;470.87;59.37;-9922.56
474.83;0;474.83;58.91;-9368.68
492.51;0;377.54;136.96;-9910.64
508.37;2;285.46;233.23;-8416.74
508.88;0;508.88;33.89;-9664.37
512.76;2;365.54;56.49;-8730.93
513.04;0;513.04;20.47;-9815.22
517.42;0;275.33;24.84;-10064.58
520.97;2;520.97;68.75;-9676.24
521.84;0;463.8;12.84;-10811.34
525.37;2;525.37;32.8;-10423.01
526;0;526;12.58;-10885.09
529.44;2;305.86;21.03;-10555.04
530.67;0;530.67;13.2;-11098.12
533.19;2;109.15;20.36;-10842.6
534.98;0;534.98;13.1;-11538.29
537.61;2;45.03;16.59;-11156.69
538;1;378.37;69.06;-11151.17
541.65;2;124.86;16.22;-12584.45
541.96;1;431.41;190.41;-9495.72
546.19;1;215.69;12.61;-8931.43
549.96;0;549.96;83.06;-9522.15
549.96;1;194.41;11.83;-10295.17
553.96;0;439.81;129.92;-9886.45
553.96;1;32.07;11.77;-10478.45
557.04;2;557.04;557.04;-9254.24
558;1;255.13;11.77;-10625.19
562.02;0;206.47;15.79;-11111.4
562.37;1;167.38;12.09;-10732
564.93;2;250.96;31.36;-10040.37
566.86;1;566.86;12.54;-10997.05
570.74;1;78.16;12.37;-11056.26
572.95;2;128.78;35.18;-11639.12
575.15;1;364.75;12.68;-11217.47
579.2;1;579.2;12.29;-11319.45
581.26;2;581.26;30.98;-11383.53
583.25;1;171.09;12.22;-11477.06
587.35;1;41.12;12.12;-11699.57
591.78;1;546.27;12.51;-11866.76
595.85;1;550.34;12.53;-12072.51
600.67;1;536.1;13.27;-12641.06
