#TimeStamp;TripTime;Type
36;20;O
44;23;O
66;14;O
67;31;O
72;23;O
74;23;O
152;14;O
163;26;O
165;18;O
211;24;O
213;26;O
218;34;O
237;7;O
266;19;O
303;20;O
321;32;O
323;18;O
357;16;O
357;26;O
396;25;O
401;24;O
425;22;O
426;29;O
463;21;O
487;20;O
500;21;O
508;23;O
524;25;O
534;22;O
572;17;O
603;22;O
611;37;O
623;28;O
636;25;O
699;62;O
701;32;O
733;22;O
758;26;O
767;26;O
770;26;O
779;21;O
830;21;O
848;26;O
879;22;O
882;14;O
890;55;O
904;23;O
918;7;O
946;15;O
991;16;O
991;34;O
1007;25;O
1016;14;O
1025;22;O
1050;17;O
1106;13;O
1107;25;O
1126;14;O
1144;64;O
1154;16;O
1165;24;O
1213;26;O
1247;15;O
1259;34;O
1263;23;O
1277;6;O
1279;33;O
1291;23;O
1321;25;O
1361;25;O
1369;25;O
1374;22;O
1380;16;O
1401;21;O
1409;21;O
1456;17;O
1467;16;O
1487;17;O
1525;28;O
1530;31;O
1533;22;O
1575;20;O
1582;13;O
1609;27;O
1620;28;O
1637;30;O
1644;29;O
1666;30;O
1675;12;O
1679;20;O
1718;22;O
1723;25;O
1742;42;O
1760;17;O
1780;27;O
1783;22;O
