#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.93;0;0;1;3;0/59.93;0/49.05,1/59.93,2/47.99;0/59.93;0/59.93,1/59.93,2/59.93;0/0;0/11,1/12,2/10;0/0;0/16,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/0,2/4
119.94;0;3;1;3;0/119.94;0/56.51,1/77.28,2/53.24;0/119.94;0/119.94,1/119.94,2/119.94;0/0;0/12,1/14,2/10;0/0;0/16,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/17,1/11,2/18
179.92;0;6;1;3;0/179.92;0/92.79,1/129.81,2/64;0/179.92;0/179.92,1/179.92,2/179.92;0/0;0/12,1/14,2/12;0/0;0/15,1/19,2/15;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/23,1/13,2/30
239.91;0;12;1;3;0/239.91;0/116.14,1/156.18,2/94.79;0/239.91;0/239.91,1/239.91,2/239.91;0/0;0/12,1/12,2/9;0/0;0/15,1/18,2/14;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/33,1/22,2/38
299.99;0;15;1;3;0/299.99;0/130.97,1/177.6,2/119.85;0/299.99;0/299.99,1/299.99,2/299.99;0/0;0/11,1/14,2/8;0/0;0/17,1/15,2/18;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/5;0/0;0/45,1/32,2/47
359.89;0;17;1;3;0/359.89;0/157.35,1/206.46,2/124.3;0/359.89;0/359.89,1/359.89,2/359.89;0/0;0/14,1/14,2/8;0/0;0/18,1/17,2/12;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/5;0/0;0/53,1/40,2/61
419.64;0;20;1;3;0/419.64;0/173.31,1/216.67,2/131.2;0/419.64;0/419.64,1/419.64,2/419.64;0/0;0/12,1/13,2/12;0/0;0/14,1/16,2/19;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/6;0/0;0/65,1/53,2/75
479.82;0;24;1;3;0/479.82;0/205.25,1/233.64,2/152.06;0/479.82;0/479.82,1/479.82,2/479.82;0/0;0/12,1/14,2/9;0/0;0/14,1/20,2/14;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/7;0/0;0/72,1/64,2/85
539.6;0;27;1;3;0/539.6;0/239.82,1/247.04,2/183.69;0/539.6;0/539.6,1/539.6,2/539.6;0/0;0/9,1/12,2/8;0/0;0/14,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/8;0/0;0/78,1/77,2/93
599.93;0;30;1;3;0/599.93;0/245.75,1/274.21,2/195.29;0/599.93;0/599.93,1/599.93,2/599.93;0/0;0/10,1/14,2/10;0/0;0/12,1/18,2/14;0/0;0/2,1/2,2/2;0/0;0/11,1/10,2/9;0/0;0/92,1/85,2/105
659.59;0;33;1;3;0/659.59;0/293.45,1/293.76,2/232.3;0/659.59;0/659.59,1/659.59,2/659.59;0/0;0/7,1/12,2/8;0/0;0/12,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/11,1/12,2/10;0/0;0/95,1/96,2/111
719.95;0;38;1;3;0/719.95;0/315.55,1/316.99,2/256.11;0/719.95;0/719.95,1/719.95,2/719.95;0/0;0/8,1/11,2/9;0/0;0/11,1/18,2/13;0/0;0/2,1/2,2/2;0/0;0/13,1/13,2/12;0/0;0/105,1/106,2/121
779.94;0;41;1;3;0/779.94;0/356.24,1/327.07,2/283.99;0/779.94;0/779.94,1/779.94,2/779.94;0/0;0/7,1/14,2/11;0/0;0/13,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/14,1/14,2/13;0/0;0/110,1/118,2/129
839.86;0;45;1;3;0/839.86;0/361.91,1/375.61,2/316.76;0/839.86;0/839.86,1/839.86,2/839.86;0/0;0/10,1/13,2/14;0/0;0/12,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/15,1/15,2/15;0/0;0/124,1/121,2/137
899.83;0;47;1;3;0/899.83;0/412.76,1/396.8,2/362.6;0/899.83;0/899.83,1/899.83,2/899.83;0/0;0/9,1/14,2/9;0/0;0/12,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/16,1/16,2/15;0/0;0/127,1/131,2/140
959.66;0;51;1;3;0/959.66;0/447.01,1/429.36,2/373.62;0/959.66;0/959.66,1/959.66,2/959.66;0/0;0/8,1/12,2/12;0/0;0/12,1/16,2/12;0/0;0/2,1/2,2/2;0/0;0/17,1/17,2/17;0/0;0/133,1/139,2/153
1019.85;0;54;1;3;0/1019.85;0/488.06,1/440.15,2/432.03;0/1019.85;0/1019.85,1/1019.85,2/1019.85;0/0;0/11,1/14,2/10;0/0;0/13,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/19,1/18,2/17;0/0;0/139,1/151,2/153
1079.75;0;57;1;3;0/1079.75;0/536.42,1/477.07,2/442.18;0/1079.75;0/1079.75,1/1079.75,2/1079.75;0/0;0/9,1/11,2/13;0/0;0/14,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/19,1/19,2/19;0/0;0/141,1/157,2/166
1139.85;0;61;1;3;0/1139.85;0/558.5,1/506.3,2/487.22;0/1139.85;0/1139.85,1/1139.85,2/1139.85;0/0;0/13,1/11,2/10;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/21,1/20,2/20;0/0;0/151,1/165,2/170
1199.85;0;63;1;3;0/1199.85;0/609.56,1/539.14,2/531.45;0/1199.85;0/1199.85,1/1199.85,2/1199.85;0/0;0/9,1/11,2/10;0/0;0/14,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/21,1/21,2/21;0/0;0/153,1/173,2/174
1260;0;67;1;3;0/1260;0/637.48,1/549.67,2/567.45;0/1260;0/1260,1/1260,2/1260;0/0;0/9,1/10,2/9;0/0;0/14,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/22,1/22,2/23;0/0;0/162,1/185,2/181
1319.9;0;70;1;3;0/1319.9;0/648.35,1/574.55,2/595.63;0/1319.9;0/1319.9,1/1319.9,2/1319.9;0/0;0/14,1/9,2/10;0/0;0/16,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/23,1/23,2/24;0/0;0/174,1/195,2/189
1379.87;0;73;1;3;0/1379.87;0/695.77,1/586.42,2/602.07;0/1379.87;0/1379.87,1/1379.87,2/1379.87;0/0;0/8,1/13,2/13;0/0;0/14,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/24,1/24,2/25;0/0;0/178,1/207,2/203
1439.6;0;76;1;3;0/1439.6;0/701.67,1/634.96,2/654.82;0/1439.6;0/1439.6,1/1439.6,2/1439.6;0/0;0/11,1/11,2/12;0/0;0/13,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/25,1/25,2/26;0/0;0/192,1/210,2/204
1499.97;0;81;1;3;0/1499.97;0/730.54,1/664.38,2/698.08;0/1499.97;0/1499.97,1/1499.97,2/1499.97;0/0;0/12,1/11,2/10;0/0;0/13,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/26,1/27,2/28;0/0;0/200,1/219,2/209
