#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.74;0;0;1;3;0/59.74;0/44.29,1/57.71,2/44.33;0/59.74;0/59.74,1/59.74,2/59.74;0/0;0/11,1/9,2/13;0/0;0/18,1/16,2/18;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/1,2/4
119.95;0;2;1;3;0/119.95;0/53.95,1/62.22,2/58.16;0/119.95;0/119.95,1/119.95,2/119.95;0/0;0/11,1/9,2/12;0/0;0/17,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/1;0/0;0/17,1/15,2/16
179.58;0;5;1;3;0/179.58;0/82.98,1/82.98,2/87.03;0/179.58;0/179.58,1/179.58,2/179.58;0/0;0/13,1/10,2/8;0/0;0/19,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/2;0/0;0/25,1/25,2/24
239.86;0;11;1;3;0/239.86;0/93.68,1/115.34,2/100.12;0/239.86;0/239.86,1/239.86,2/239.86;0/0;0/12,1/14,2/16;0/0;0/15,1/17,2/17;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/4;0/0;0/38,1/33,2/37
299.82;0;14;1;3;0/299.82;0/112.27,1/145.55,2/145.07;0/299.82;0/299.82,1/299.82,2/299.82;0/0;0/13,1/11,2/10;0/0;0/15,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/5;0/0;0/49,1/40,2/41
359.58;0;17;1;3;0/359.58;0/158.72,1/166.44,2/152.41;0/359.58;0/359.58,1/359.58,2/359.58;0/0;0/10,1/12,2/8;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/6;0/0;0/52,1/51,2/54
419.63;0;20;1;3;0/419.63;0/187.81,1/204.74,2/203.47;0/419.63;0/419.63,1/419.63,2/419.63;0/0;0/13,1/10,2/9;0/0;0/18,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/8,1/6,2/6;0/0;0/61,1/56,2/56
479.65;0;24;1;3;0/479.65;0/233.34,1/222.64,2/216.86;0/479.65;0/479.65,1/479.65,2/479.65;0/0;0/11,1/10,2/13;0/0;0/15,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/8;0/0;0/64,1/67,2/69
539.95;0;28;1;3;0/539.95;0/244.4,1/254.03,2/251.48;0/539.95;0/539.95,1/539.95,2/539.95;0/0;0/10,1/8,2/9;0/0;0/14,1/15,2/11;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/9;0/0;0/77,1/75,2/75
599.61;0;30;1;3;0/599.61;0/279.78,1/269.39,2/272.54;0/599.61;0/599.61,1/599.61,2/599.61;0/0;0/8,1/9,2/9;0/0;0/16,1/12,2/11;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/10;0/0;0/83,1/87,2/85
659.8;0;34;1;3;0/659.8;0/289.32,1/303.31,2/314.98;0/659.8;0/659.8,1/659.8,2/659.8;0/0;0/10,1/9,2/9;0/0;0/15,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/12;0/0;0/97,1/93,2/90
719.7;0;36;1;3;0/719.7;0/310.34,1/328.89,2/357.58;0/719.7;0/719.7,1/719.7,2/719.7;0/0;0/11,1/9,2/7;0/0;0/15,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/12,1/12,2/12;0/0;0/106,1/102,2/94
779.6;0;42;1;3;0/779.6;0/331.67,1/337.41,2/366.71;0/779.6;0/779.6,1/779.6,2/779.6;0/0;0/14,1/11,2/9;0/0;0/14,1/11,2/14;0/0;0/2,1/2,2/2;0/0;0/14,1/14,2/14;0/0;0/116,1/116,2/108
839.7;0;44;1;3;0/839.7;0/387.06,1/388.6,2/385.05;0/839.7;0/839.7,1/839.7,2/839.7;0/0;0/8,1/7,2/9;0/0;0/14,1/11,2/11;0/0;0/2,1/2,2/2;0/0;0/15,1/15,2/14;0/0;0/118,1/118,2/118
900;0;47;1;3;0/900;0/392.25,1/400.74,2/431.72;0/900;0/900,1/900,2/900;0/0;0/8,1/11,2/4;0/0;0/13,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/15,1/16,2/16;0/0;0/132,1/130,2/122
959.95;0;51;1;3;0/959.95;0/411.42,1/425.8,2/442.39;0/959.95;0/959.95,1/959.95,2/959.95;0/0;0/13,1/11,2/6;0/0;0/17,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/17,1/17,2/17;0/0;0/143,1/140,2/135
1019.79;0;54;1;3;0/1019.79;0/449.24,1/458.92,2/448.66;0/1019.79;0/1019.79,1/1019.79,2/1019.79;0/0;0/9,1/10,2/9;0/0;0/13,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/18,1/18,2/18;0/0;0/149,1/146,2/149
