#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;120.88;0.03;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.86;122.36;0.9;PP/0.02,TA/0.81,IS/0,PS/0.43,RB/0,OB/0.02,RP/0
119.97;122.36;1.32;PP/0.03,TA/1.17,IS/0,PS/0.77,RB/0,OB/0.02,RP/0
179.65;122.36;1.5;PP/0.03,TA/1.29,IS/0,PS/0.8,RB/0,OB/0.03,RP/0
239.8;122.36;1.65;PP/0.04,TA/1.39,IS/0,PS/0.82,RB/0,OB/0.04,RP/0
299.96;122.37;1.88;PP/0.07,TA/1.55,IS/0,PS/0.84,RB/0,OB/0.04,RP/0
359.91;123.02;2.02;PP/0.08,TA/1.64,IS/0,PS/0.87,RB/0,OB/0.05,RP/0
419.93;123.02;2.12;PP/0.09,TA/1.71,IS/0,PS/0.89,RB/0,OB/0.05,RP/0
479.97;123.2;2.27;PP/0.1,TA/1.78,IS/0,PS/0.91,RB/0,OB/0.06,RP/0
539.82;123.2;2.36;PP/0.11,TA/1.82,IS/0,PS/0.92,RB/0,OB/0.07,RP/0
599.96;123.44;2.44;PP/0.11,TA/1.86,IS/0,PS/0.94,RB/0,OB/0.07,RP/0
659.99;123.44;2.51;PP/0.12,TA/1.88,IS/0,PS/0.96,RB/0,OB/0.08,RP/0
719.87;123.83;2.59;PP/0.13,TA/1.92,IS/0,PS/0.98,RB/0,OB/0.08,RP/0
779.74;123.83;2.71;PP/0.14,TA/2,IS/0,PS/1,RB/0,OB/0.09,RP/0
839.8;123.83;2.81;PP/0.14,TA/2.05,IS/0,PS/1.01,RB/0,OB/0.1,RP/0
900;124.66;2.9;PP/0.15,TA/2.09,IS/0,PS/1.03,RB/0,OB/0.11,RP/0
959.96;124.75;3.01;PP/0.16,TA/2.14,IS/0,PS/1.05,RB/0,OB/0.11,RP/0
1019.98;124.75;3.13;PP/0.17,TA/2.21,IS/0,PS/1.07,RB/0,OB/0.12,RP/0
1079.97;124.75;3.29;PP/0.17,TA/2.32,IS/0,PS/1.1,RB/0,OB/0.13,RP/0
1139.68;124.75;3.38;PP/0.18,TA/2.36,IS/0,PS/1.12,RB/0,OB/0.13,RP/0
1199.81;125.07;3.46;PP/0.19,TA/2.39,IS/0,PS/1.14,RB/0,OB/0.14,RP/0
1259.96;125.29;3.6;PP/0.2,TA/2.48,IS/0,PS/1.16,RB/0,OB/0.14,RP/0
1319.81;126;3.7;PP/0.21,TA/2.53,IS/0,PS/1.18,RB/0,OB/0.15,RP/0
1379.64;126;3.78;PP/0.22,TA/2.55,IS/0,PS/1.19,RB/0,OB/0.16,RP/0
1439.97;126;3.88;PP/0.23,TA/2.61,IS/0,PS/1.2,RB/0,OB/0.16,RP/0
1499.77;126.3;3.99;PP/0.24,TA/2.66,IS/0,PS/1.21,RB/0,OB/0.17,RP/0
1559.76;127.75;4.09;PP/0.25,TA/2.7,IS/0,PS/1.24,RB/0,OB/0.18,RP/0
1619.94;127.41;4.18;PP/0.26,TA/2.75,IS/0,PS/1.25,RB/0,OB/0.18,RP/0
1679.99;127.53;4.32;PP/0.27,TA/2.83,IS/0,PS/1.28,RB/0,OB/0.19,RP/0
1739.94;127.53;4.41;PP/0.28,TA/2.86,IS/0,PS/1.3,RB/0,OB/0.2,RP/0
1799.58;127.77;4.5;PP/0.29,TA/2.9,IS/0,PS/1.32,RB/0,OB/0.2,RP/0
