#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.88;0;0;1;3;0/59.88;0/40.15,1/59.88,2/59.88;0/59.88;0/59.88,1/59.88,2/59.88;0/0;0/9,1/11,2/11;0/0;0/15,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/6,1/0,2/0
119.6;0;2;1;3;0/119.6;0/47.24,1/72.16,2/66.57;0/119.6;0/119.6,1/119.6,2/119.6;0/0;0/12,1/11,2/11;0/0;0/18,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/0,1/1,2/1;0/0;0/19,1/13,2/14
179.87;0;6;1;3;0/179.87;0/72.42,1/86.46,2/107.53;0/179.87;0/179.87,1/179.87,2/179.87;0/0;0/11,1/11,2/7;0/0;0/19,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/29,1/25,2/20
239.69;0;9;1;3;0/239.69;0/80.82,1/94.62,2/115.55;0/239.69;0/239.69,1/239.69,2/239.69;0/0;0/13,1/12,2/11;0/0;0/20,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/42,1/38,2/33
299.83;0;11;1;3;0/299.83;0/95.84,1/140.56,2/151.73;0/299.83;0/299.83,1/299.83,2/299.83;0/0;0/11,1/10,2/8;0/0;0/16,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/3;0/0;0/54,1/42,2/39
359.79;0;14;1;3;0/359.79;0/102.44,1/153.91,2/168.57;0/359.79;0/359.79,1/359.79,2/359.79;0/0;0/11,1/9,2/12;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/4,1/5,2/5;0/0;0/68,1/54,2/51
419.9;0;17;1;3;0/419.9;0/122.79,1/178.9,2/196.64;0/419.9;0/419.9,1/419.9,2/419.9;0/0;0/10,1/13,2/9;0/0;0/16,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/5,1/6,2/6;0/0;0/78,1/63,2/59
479.96;0;20;1;3;0/479.96;0/137.2,1/200.48,2/204.77;0/479.96;0/479.96,1/479.96,2/479.96;0/0;0/15,1/14,2/9;0/0;0/20,1/21,2/13;0/0;0/2,1/2,2/2;0/0;0/6,1/7,2/7;0/0;0/90,1/73,2/73
539.7;0;25;1;3;0/539.7;0/167.39,1/214.76,2/225.09;0/539.7;0/539.7,1/539.7,2/539.7;0/0;0/14,1/10,2/9;0/0;0/20,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/8,1/9,2/8;0/0;0/98,1/86,2/83
599.8;0;27;1;3;0/599.8;0/184.07,1/218.1,2/243.32;0/599.8;0/599.8,1/599.8,2/599.8;0/0;0/16,1/6,2/11;0/0;0/20,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/9;0/0;0/109,1/100,2/93
659.82;0;30;1;3;0/659.82;0/232.42,1/224.72,2/288.89;0/659.82;0/659.82,1/659.82,2/659.82;0/0;0/13,1/7,2/8;0/0;0/18,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/10;0/0;0/113,1/114,2/97
719.67;0;33;1;3;0/719.67;0/246.64,1/230.27,2/294.73;0/719.67;0/719.67,1/719.67,2/719.67;0/0;0/13,1/7,2/9;0/0;0/22,1/13,2/11;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/11;0/0;0/124,1/128,2/111
779.9;0;36;1;3;0/779.9;0/253.41,1/245.8,2/327.84;0/779.9;0/779.9,1/779.9,2/779.9;0/0;0/16,1/11,2/7;0/0;0/22,1/16,2/11;0/0;0/2,1/2,2/2;0/0;0/12,1/12,2/12;0/0;0/138,1/140,2/118
839.94;0;38;1;3;0/839.94;0/282.25,1/260.22,2/358.59;0/839.94;0/839.94,1/839.94,2/839.94;0/0;0/11,1/8,2/6;0/0;0/18,1/13,2/10;0/0;0/2,1/2,2/2;0/0;0/12,1/13,2/13;0/0;0/146,1/152,2/126
