#TimeStamp;TripTime;Type
32;14;O
45;20;O
55;25;O
59;19;O
81;24;O
89;20;O
148;25;O
152;17;O
171;14;O
187;12;O
194;29;O
222;23;O
286;25;O
291;19;O
304;35;O
328;43;O
336;26;O
341;16;O
381;20;O
398;10;O
421;18;O
425;7;O
434;21;O
478;25;O
481;36;O
513;21;O
519;15;O
522;12;O
544;7;O
556;15;O
592;21;O
638;25;O
640;22;O
659;24;O
663;18;O
692;53;O
742;18;O
751;24;O
769;28;O
802;30;O
811;13;O
840;21;O
857;33;O
867;15;O
875;16;O
926;21;O
937;15;O
978;26;O
987;13;O
1008;34;O
1039;69;O
1048;18;O
1088;16;O
1094;21;O
1101;27;O
1132;14;O
1145;24;O
1192;16;O
1210;19;O
1214;55;O
1235;18;O
1246;14;O
1272;23;O
1300;32;O
1303;10;O
1322;17;O
1333;21;O
1345;17;O
1393;23;O
1417;54;O
1421;61;O
1425;20;O
1434;22;O
1466;15;O
1482;16;O
1498;17;O
1513;13;O
1514;32;O
1535;14;O
1545;16;O
1545;30;O
1591;15;O
1604;27;O
1611;20;O
1621;43;O
1624;21;O
1638;27;O
1674;7;O
1679;13;O
1689;15;O
1697;32;O
1713;10;O
1742;18;O
1746;16;O
1766;13;O
1782;23;O
1800;20;O
