#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.98;0;0;1;3;0/59.98;0/48.36,1/46.02,2/45.66;0/59.98;0/59.98,1/59.98,2/59.98;0/0;0/9,1/11,2/12;0/0;0/16,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/4,2/4
119.83;0;3;1;3;0/119.83;0/54.51,1/52.7,2/55.18;0/119.83;0/119.83,1/119.83,2/119.83;0/0;0/8,1/13,2/14;0/0;0/14,1/21,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/17,1/18,2/17
179.63;0;6;1;3;0/179.63;0/63.31,1/79.54,2/91.69;0/179.63;0/179.63,1/179.63,2/179.63;0/0;0/8,1/10,2/11;0/0;0/14,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/31,1/26,2/24
239.83;0;9;1;3;0/239.83;0/83.56,1/87.58,2/99.65;0/239.83;0/239.83,1/239.83,2/239.83;0/0;0/12,1/8,2/13;0/0;0/17,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/41,1/40,2/37
299.75;0;12;1;3;0/299.75;0/110.03,1/94.4,2/129.94;0/299.75;0/299.75,1/299.75,2/299.75;0/0;0/13,1/10,2/9;0/0;0/17,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/49,1/54,2/45
359.99;0;15;1;3;0/359.99;0/135.19,1/113.13,2/140.54;0/359.99;0/359.99,1/359.99,2/359.99;0/0;0/11,1/12,2/8;0/0;0/15,1/19,2/12;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/5;0/0;0/58,1/65,2/57
419.58;0;18;1;3;0/419.58;0/147.72,1/139.36,2/148.36;0/419.58;0/419.58,1/419.58,2/419.58;0/0;0/9,1/10,2/11;0/0;0/15,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/6;0/0;0/71,1/73,2/71
479.79;0;21;1;3;0/479.79;0/155.63,1/171.69,2/173.73;0/479.79;0/479.79,1/479.79,2/479.79;0/0;0/10,1/8,2/11;0/0;0/18,1/11,2/13;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/7;0/0;0/85,1/81,2/80
539.87;0;24;1;3;0/539.87;0/162.86,1/178.96,2/221.07;0/539.87;0/539.87,1/539.87,2/539.87;0/0;0/11,1/8,2/9;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/8;0/0;0/98,1/94,2/83
599.9;0;28;1;3;0/599.9;0/188.85,1/209.47,2/246.19;0/599.9;0/599.9,1/599.9,2/599.9;0/0;0/11,1/6,2/10;0/0;0/15,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/10;0/0;0/107,1/102,2/93
