#TimeStamp;Runtime;Requests
0.88;0;6
1.88;0;1
3.55;0;1
4.64;0;1
5.76;0;1
6.85;0;2
8.1;0;1
9.48;0;1
10.57;0;2
13.02;0;1
14.27;0;1
15.3;0;1
16.31;0;1
17.31;0;1
18.36;0;1
19.4;0;1
20.42;0;2
23.13;0;1
24.36;0;2
25.63;0;1
27.03;0;1
30.87;0;1
33.22;0;1
34.53;0;1
35.54;0;2
36.63;0;1
39.28;0;1
40.42;0;1
41.71;0;1
43.36;0;1
44.45;0;1
47.37;0;1
48.38;0;1
51.05;0;1
52.25;0;1
55.83;0;1
57.09;0;1
60.69;0;1
71.52;0;1
72.73;0;1
80.36;0;1
82.5;0;1
85.17;0;1
95.38;0;1
96.55;0;1
98.45;0;1
99.85;0;1
106.26;0;1
108.68;0;1
111.35;0;1
112.67;0;1
115.34;0;1
116.4;0;1
118.84;0;1
119.93;0;1
121.15;0;1
123.69;0;1
125.67;0;1
128.53;0;1
129.62;0;1
133.18;0;1
140.52;0;1
145.87;0;1
148.58;0;1
150.07;0;1
154.9;0;1
159.63;0;1
160.72;0;1
161.96;0;1
165.46;0;1
168.05;0;1
169.8;0;1
170.89;0;1
171.98;0;1
176.88;0;1
179.62;0;2
181.15;0;1
182.16;0;1
184.08;0;1
186.33;0;1
188.25;0;1
189.68;0;1
192.12;0;1
198.83;0;1
200;0;2
202.67;0;1
203.81;0;1
205.13;0;1
207.31;0;1
208.34;0;1
210.17;0;1
215.41;0;1
216.57;0;1
220.04;0;1
221.73;0;1
222.93;0;1
223.95;0;1
225.33;0;1
226.43;0;1
231.54;0;1
235.5;0;1
237.46;0;1
240.17;0;1
241.26;0;1
242.61;0;1
243.67;0;1
245.64;0;1
248.07;0;1
249.2;0;1
251.43;0;1
260.66;0;1
261.68;0;1
264.87;0;1
267.45;0;1
268.68;0;1
270.88;0;1
272.85;0;1
278.45;0;1
279.47;0;1
281.52;0;1
282.77;0;1
286.35;0;1
288.7;0;1
290.98;0;1
291.98;0;1
293.02;0;2
294.03;0;1
295.19;0;1
296.28;0;1
298.91;0;1
305.36;0;1
307.5;0;1
308.82;0;1
310.07;0;1
313.33;0;1
314.42;0;1
315.46;0;1
316.47;0;1
317.5;0;1
320.96;0;1
322.29;0;1
323.51;0;1
324.88;0;1
326.76;0;1
328.77;0;1
329.89;0;1
334.73;0;1
338.39;0;1
341.36;0;1
342.39;0;1
345.53;0;1
346.56;0;1
347.65;0;1
351.35;0;1
353.9;0;1
357.81;0;1
358.9;0;2
363.12;0;1
364.16;0;2
365.21;0;1
367.01;0;1
368.57;0;1
369.66;0;2
371.85;0;1
373.13;0;1
374.33;0;3
377.82;0;1
384.58;0;1
387.02;0;1
388.2;0;1
389.4;0;1
390.5;0;1
391.6;0;1
393.66;0;1
394.75;0;2
402.25;0;1
404.49;0;1
408.15;0;1
411.79;0;1
412.82;0;1
413.88;0;1
417.61;0;1
420.86;0;1
422.58;0;1
423.99;0;1
426.05;0;1
427.57;0;1
428.79;0;1
429.87;0;1
431.09;0;1
432.41;0;1
433.41;0;2
435.92;0;1
439.04;0;1
440.04;0;1
441.12;0;1
442.49;0;1
443.59;0;1
447.13;0;1
453.78;0;1
455.51;0;1
456.86;0;1
458.18;0;1
462.34;0;1
465.97;0;1
467.36;0;1
468.48;0;3
471.99;0;1
473.93;0;1
475.08;0;1
479.98;0;1
481.29;0;2
482.62;0;1
486.59;0;1
491.42;0;1
492.74;0;1
494.99;0;1
496.83;0;1
498.17;0;1
499.46;0;1
506.57;0;1
508.66;0;1
514.01;0;1
515.34;0;1
516.48;0;1
517.76;0;1
519.76;0;1
520.89;0;1
522.04;0;1
523.13;0;1
529.73;0;1
531.02;0;2
535.03;0;1
540.98;0;1
545.28;0;1
546.46;0;1
548.11;0;1
550.21;0;1
551.55;0;1
554.88;0;1
557.13;0;1
560.02;0;1
563.56;0;1
564.65;0;1
567.02;0;1
568.11;0;1
569.86;0;1
572.94;0;1
574.7;0;2
589.54;0;1
590.55;0;1
592.25;0;1
593.56;0;1
597.17;0;1
600.39;0;1
602.14;0;1
609.23;0;1
610.23;0;3
611.48;0;1
620.04;0;1
623.9;0;1
625.65;0;1
626.94;0;1
634.03;0;1
635.9;0;1
638.49;0;1
640.51;0;1
642.58;0;1
644.07;0;1
645.29;0;1
646.99;0;1
648.75;0;1
650.58;0;1
652.6;0;1
653.69;0;2
657.84;0;1
658.87;0;1
661.54;0;1
664.77;0;1
667.44;0;1
671.36;0;1
674.5;0;1
677.69;0;1
678.69;0;1
679.91;0;1
681.11;0;1
683.91;0;1
684.99;0;1
687.28;0;1
688.28;0;1
689.43;0;1
690.45;0;1
691.59;0;1
692.7;0;3
695.08;0;1
696.15;0;1
697.21;0;1
698.53;0;1
699.62;0;1
705.58;0;1
707.46;0;1
708.59;0;1
709.71;0;1
710.8;0;1
712.15;0;1
713.21;0;1
714.3;0;1
715.37;0;1
716.99;0;1
722.15;0;1
723.53;0;1
724.64;0;1
727.51;0;1
728.6;0;1
729.7;0;1
730.74;0;1
732.05;0;1
733.11;0;1
734.15;0;2
738.89;0;1
740;0;2
743.21;0;1
745.16;0;1
748.66;0;1
754.17;0;1
763.93;0;1
765.3;0;1
766.51;0;1
769.81;0;1
779.32;0;1
780.34;0;1
781.36;0;1
783.41;0;1
785.18;0;1
787.41;0;1
788.5;0;1
790.03;0;1
791.24;0;1
792.54;0;1
793.96;0;1
802.44;0;1
806.04;0;1
807.58;0;1
813.95;0;1
815.86;0;1
819.01;0;1
820.24;0;1
822.91;0;1
824.2;0;2
826.52;0;1
830.02;0;1
831.08;0;1
835.35;0;1
836.68;0;1
838.06;0;1
841.24;0;1
843.6;0;1
845.61;0;1
846.82;0;1
848.44;0;1
849.44;0;1
851;0;1
853.58;0;1
856.95;0;1
