#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;75.17;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.99;75.17;0.16;PP/0,TA/0.12,IS/0,PS/0.03,RB/0,OB/0.01,RP/0
119.82;75.17;0.23;PP/0,TA/0.17,IS/0,PS/0.08,RB/0,OB/0.01,RP/0
179.59;75.11;0.29;PP/0.01,TA/0.21,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
239.89;74.82;0.32;PP/0.01,TA/0.22,IS/0,PS/0.09,RB/0,OB/0.02,RP/0
299.98;74.79;0.35;PP/0.01,TA/0.23,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
359.99;74.79;0.37;PP/0.01,TA/0.24,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
419.95;74.79;0.4;PP/0.01,TA/0.25,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
479.81;74.79;0.42;PP/0.02,TA/0.25,IS/0,PS/0.1,RB/0,OB/0.03,RP/0
539.99;74.79;0.45;PP/0.02,TA/0.27,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
599.91;74.46;0.48;PP/0.02,TA/0.27,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
659.99;74.1;0.5;PP/0.02,TA/0.28,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
719.64;74;0.53;PP/0.02,TA/0.29,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
779.67;73.96;0.55;PP/0.03,TA/0.3,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
839.81;73.96;0.59;PP/0.03,TA/0.3,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
899.86;73.96;0.61;PP/0.03,TA/0.31,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
959.68;73.96;0.63;PP/0.03,TA/0.31,IS/0,PS/0.13,RB/0,OB/0.04,RP/0
1019.97;73.9;0.65;PP/0.04,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1079.88;73.81;0.68;PP/0.04,TA/0.33,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1139.95;73.79;0.7;PP/0.04,TA/0.33,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1199.84;73.79;0.73;PP/0.04,TA/0.34,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1260;73.68;0.75;PP/0.05,TA/0.34,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1319.82;73.63;0.77;PP/0.05,TA/0.35,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1379.95;73.49;0.8;PP/0.05,TA/0.35,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1439.65;73.34;0.82;PP/0.05,TA/0.36,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1499.89;73.33;0.84;PP/0.05,TA/0.36,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1559.71;73.33;0.86;PP/0.06,TA/0.37,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1619.77;73.33;0.88;PP/0.06,TA/0.37,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1679.98;73.33;0.9;PP/0.06,TA/0.37,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1739.94;73.33;0.92;PP/0.06,TA/0.38,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1799.89;73.33;0.94;PP/0.07,TA/0.38,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
