#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.33
59.92;200;200;0;58.32;0;59.92;0;0.35
119.87;200;200;0;83.05;0;119.87;0;0.4
179.74;200;200;0;120.14;0;170.69;0;0.38
239.7;200;200;0;142.52;0;223.16;0;0.39
299.9;200;200;0;175.9;0;255.54;0;0.39
359.96;200;200;0;187.02;0;288.7;0;0.43
419.98;200;200;0;191.35;0;340.51;0;0.42
479.97;200;200;0;201.97;0;361.72;0;0.45
539.83;200;200;0;206.15;0;418.51;0;0.46
599.61;200;200;0;233.94;0;466.84;0;0.54
659.93;200;200;0;263.64;0;476.3;0;0.58
719.96;200;200;0;296.39;0;515.67;0;0.58
780;200;200;0;312.97;0;565.1;0;0.61
839.93;200;200;0;332.02;0;675.49;0;0.57
899.87;200;200;0;326.93;0;655.14;0;0.62
959.67;200;200;0;339.99;0;768.28;0;0.58
1019.77;200;200;0;374.18;0;826.38;0;0.6
1080;200;200;0;352.37;0;880.88;0;0.59
1139.81;200;200;0;371.77;0;841.42;0;0.61
1199.91;200;200;0;428.56;0;914.51;0;0.63
1259.73;200;192;0;419.32;0;991.87;0;0.6
1319.89;200;188;0;420;0;1009.38;0;0.62
1379.78;200;183;0;461.75;0;1078.61;0;0.59
1439.76;200;173;0;427.77;0;1103.69;0;0.6
1499.72;200;161;0;465.43;0;1259.83;0;0.6
1559.74;200;158;0;502.12;0;1376.45;0;0.61
1619.76;200;152;0;453.08;0;1401.46;0;0.63
1679.59;200;134;0;442.01;0;1390.13;0;0.66
1739.96;200;119;0;503.33;0;1338.06;0;0.71
1799.99;200;105;0;493.62;0;1392.52;0;0.73
