#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.63;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
119.98;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.89;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.89;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
359.85;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
419.82;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
479.95;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
539.92;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
599.8;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
659.81;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
719.8;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
779.92;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
839.77;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
899.88;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
959.92;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1019.89;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1079.95;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1139.91;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1199.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1259.87;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.99;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1379.76;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1439.94;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1499.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1559.98;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1619.9;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1679.9;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1739.85;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1799.94;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
