#TimeStamp;Bot;Pod;OutputStation
46.88;2;49;0
50.59;2;49;0
54.6;2;49;0
58.92;2;49;0
63;2;49;0
64.9;3;26;2
65.72;5;4;1
67.05;2;49;0
69.03;3;26;2
70.01;5;4;1
71.49;2;49;0
73.45;3;26;2
73.96;5;4;1
75.87;2;49;0
77.87;3;26;2
78.1;5;4;1
79.91;2;49;0
81.91;3;26;2
82.52;5;4;1
83.96;2;49;0
85.96;3;26;2
86.58;5;4;1
88;2;49;0
90.04;3;26;2
90.63;5;4;1
91.98;2;49;0
94.09;3;26;2
94.67;5;4;1
95.98;2;49;0
98.72;5;4;1
101.18;1;30;2
103.07;4;5;0
103.14;5;4;1
105.18;1;30;2
107.11;4;5;0
107.3;5;4;1
109.24;1;30;2
110.8;4;5;0
111.3;5;4;1
113.3;1;30;2
114.85;4;5;0
115.15;5;4;1
117.2;1;30;2
119.15;4;5;0
121.24;1;30;2
121.91;0;3;1
123.04;4;5;0
125.24;1;30;2
125.76;0;3;1
127.15;4;5;0
129.35;1;30;2
129.96;0;3;1
131.2;4;5;0
133.29;1;30;2
134;0;3;1
135.24;4;5;0
137.4;1;30;2
138.04;0;3;1
141.44;1;30;2
142.09;0;3;1
150.05;2;37;0
154.1;2;37;0
158.42;2;37;0
162.37;2;37;0
172.48;5;57;1
172.93;3;40;2
176.57;5;57;1
177.17;3;40;2
180.67;5;57;1
181.59;3;40;2
184.67;5;57;1
186.01;3;40;2
190.39;3;40;2
194.06;3;40;2
198.4;3;40;2
202.43;3;40;2
204.02;0;5;1
206.49;3;40;2
208.43;0;5;1
212.85;0;5;1
213.94;1;13;2
216.86;0;5;1
218.02;1;13;2
221;0;5;1
222.04;1;13;2
224.97;2;4;0
225.08;0;5;1
226.09;1;13;2
230.15;1;13;2
244.62;4;44;0
248.82;4;44;0
253.24;4;44;0
257.35;4;44;0
261.14;4;44;0
265.42;4;44;0
269.84;4;44;0
272.93;5;0;1
274.06;4;44;0
275.15;3;39;2
277.06;5;0;1
278.48;4;44;0
279.3;3;39;2
281.12;5;0;1
282.9;4;44;0
283.51;3;39;2
285.16;5;0;1
287.01;4;44;0
287.68;3;39;2
289.58;5;0;1
291.43;4;44;0
291.89;3;39;2
293.84;5;0;1
295.84;4;44;0
296.13;3;39;2
297.89;5;0;1
299.9;4;44;0
303.65;4;44;0
305.97;0;25;1
310.23;0;25;1
311.07;2;59;0
311.33;1;1;2
314.65;0;25;1
315.33;2;59;0
315.52;1;1;2
319.08;0;25;1
319.37;2;59;0
319.84;1;1;2
323.21;0;25;1
323.37;2;59;0
323.94;1;1;2
327.44;2;59;0
327.98;1;1;2
331.59;2;59;0
332.02;1;1;2
335.63;2;59;0
336.1;1;1;2
340.44;1;1;2
344.49;1;1;2
348.91;1;1;2
353.27;1;1;2
357.69;1;1;2
362.11;1;1;2
365.76;5;21;1
366.21;1;1;2
369.72;5;21;1
370.63;1;1;2
373.95;5;21;1
374.67;1;1;2
378.17;5;21;1
379.09;1;1;2
379.33;4;45;0
382.37;5;21;1
383.21;1;1;2
383.29;4;45;0
386.83;5;21;1
387.25;1;1;2
387.65;4;45;0
391.25;5;21;1
392.07;4;45;0
394.29;3;27;2
395.29;5;21;1
396.13;4;45;0
398.33;3;27;2
400;4;45;0
402.33;0;17;1
402.33;3;27;2
404.29;4;45;0
406.71;0;17;1
406.71;3;27;2
408.71;4;45;0
410.46;3;27;2
410.75;0;17;1
412.75;4;45;0
414.76;0;17;1
414.76;3;27;2
416.8;4;45;0
418.77;3;27;2
420.86;4;45;0
422.82;3;27;2
425.28;4;45;0
426.86;3;27;2
429.7;4;45;0
430.54;3;27;2
434.13;4;45;0
438.17;4;45;0
442.59;4;45;0
447.03;4;45;0
451.37;4;45;0
455.45;5;9;1
458.4;2;12;0
459.73;5;9;1
462.61;2;12;0
463.44;1;35;2
463.89;5;9;1
466.36;2;12;0
467.7;1;35;2
468.31;5;9;1
470.66;2;12;0
472.07;1;35;2
472.67;5;9;1
476.36;1;35;2
476.71;5;9;1
480.49;1;35;2
484.55;1;35;2
488.8;1;35;2
489.94;0;14;1
494.26;0;14;1
498.68;0;14;1
503;0;14;1
506.15;4;49;0
506.73;0;14;1
510.73;0;14;1
515.1;0;14;1
516.74;3;59;2
520.78;3;59;2
525.05;3;59;2
533.83;2;21;0
537.99;2;21;0
562.3;5;43;1
566.64;5;43;1
569.59;1;45;2
570.96;5;43;1
573.63;1;45;2
575.29;5;43;1
579.38;5;43;1
583.8;5;43;1
588.22;5;43;1
589.6;4;24;0
589.64;3;39;2
592.31;5;43;1
593.4;4;24;0
593.83;3;39;2
596.45;5;43;1
597.64;4;24;0
597.88;3;39;2
600.87;5;43;1
601.76;4;24;0
602.27;3;39;2
604.92;5;43;1
605.59;4;24;0
606.26;3;39;2
608.97;5;43;1
609.81;4;24;0
610.27;3;39;2
613.39;5;43;1
614.32;3;39;2
617.45;5;43;1
618.74;3;39;2
621.83;5;43;1
622.71;2;11;0
623.16;3;39;2
625.52;5;43;1
626.85;2;11;0
627.52;3;39;2
631.27;2;11;0
633.23;0;23;1
635.32;2;11;0
637.28;0;23;1
639.74;2;11;0
641.32;0;23;1
644;2;11;0
