#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
55.07;2;55.07;55.07;-9750.01
58.57;0;58.57;58.57;-9285.24
59.54;2;59.54;59.54;-9770.97
62.67;0;62.67;7.19;-9928.69
63.71;2;63.71;8.23;-9992.66
65.54;1;65.54;65.54;-9346.74
67.41;0;67.41;8.75;-10375.2
67.93;2;67.93;12.45;-9973.78
71.46;0;71.46;8.39;-10526.12
72.35;2;16.87;12.45;-9374.5
75.6;0;75.6;8.11;-10647.75
76.35;2;13.28;12.35;-9604.8
77.71;1;77.71;14.64;-10214.7
79.89;0;79.89;8.19;-11001.27
80.42;2;80.42;12.1;-10325.65
81.9;1;81.9;16.21;-11452.12
83.69;0;83.69;7.8;-11111.84
84.46;2;84.46;12.07;-10376.21
85.85;1;85.85;7.96;-11626.23
87.73;0;20.24;7.8;-11801.44
88.31;2;88.31;11.8;-10401.7
91.98;0;36.5;7.98;-12728.12
92.68;2;92.68;12.13;-10608.25
96.93;1;96.93;96.93;-9565.2
96.93;2;96.93;12.34;-11154.67
99.36;0;99.36;99.36;-8800.49
101.06;1;101.06;101.06;-9561.92
101.06;2;101.06;12.42;-11460.1
105.28;2;105.28;12.4;-11571.69
109.19;1;109.19;23.19;-10894.35
109.4;2;109.4;12.13;-11963.88
113.15;1;113.15;24.51;-10003.33
113.59;2;16.33;12.28;-9870.53
115.49;0;115.49;18.22;-9888.36
117.24;1;117.24;19.97;-10950.77
117.68;2;16.37;12.33;-10860.86
119.5;0;119.5;19.95;-10352.61
121.45;1;121.45;20.14;-11915.11
121.73;2;121.73;12.13;-12307.98
123.49;0;123.49;7.9;-10455.87
125.4;1;125.4;16.05;-12296.93
127.41;0;127.41;7.77;-10567.18
129.49;1;13.9;13.85;-10317.57
130.19;2;10.55;10.51;-10528.4
137.34;2;137.34;137.34;-9548.9
141.53;2;141.53;141.53;-9677.42
145.65;2;145.65;27.92;-11023.99
147.5;1;147.5;147.5;-9331.92
151.66;1;151.66;151.66;-9516.61
153.91;2;153.91;16.33;-9919.18
158.15;2;158.15;20.57;-10117.82
161.71;0;161.71;161.71;-9085.3
162.17;2;162.17;20.54;-10926.79
164.08;1;62.77;18.38;-10993.64
165.97;0;165.97;73.7;-11781.28
166.04;2;166.04;20.34;-11539.97
204.8;1;204.8;83.31;-10516.13
