#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.31
59.99;200;200;0;52.3;0;59.99;0;0.26
119.99;200;200;0;88.6;0;111;0;0.24
179.91;200;200;0;117.54;0;159.41;0;0.22
239.95;200;200;0;150.88;0;220.67;0;0.24
299.72;200;200;0;163.41;0;254.99;0;0.35
359.98;200;200;0;192.64;0;320.11;0;0.37
419.77;200;200;0;222.63;0;355.37;0;0.43
479.62;200;200;0;234.12;0;399.93;0;0.45
539.88;200;200;0;267.13;0;467.59;0;0.5
599.81;200;200;0;249.74;0;472.32;0;0.58
659.58;200;200;0;278.6;0;557.81;0;0.45
719.96;200;200;0;309.2;0;587.65;0;0.54
779.86;200;200;0;347.25;0;647.49;0;0.47
839.61;200;200;0;334.22;0;678.38;0;0.49
899.73;200;200;0;340.47;0;708.54;0;0.57
959.75;200;200;0;342.92;0;783.12;0;0.59
1019.98;200;200;0;327.69;0;754.34;0;0.56
1079.95;200;200;0;285.86;0;894.25;0;0.47
1139.9;200;200;0;283.57;0;913.66;0;0.54
1199.59;200;200;0;300.58;0;824.42;0;0.58
1259.97;200;200;0;327.97;0;877.6;0;0.61
1319.83;200;199;0;306.62;0;851.74;0;0.7
1379.94;200;185;0;314.71;0;879.99;0;0.69
1439.96;200;171;0;336.89;0;1008.61;0;0.7
1499.79;200;158;0;357.94;0;1239.09;0;0.67
1559.94;200;147;0;310.66;0;1191.95;0;0.75
1619.9;200;127;0;344.4;0;1293.29;0;0.68
1679.68;200;119;0;343.45;0;1397.06;0;0.68
1739.63;200;110;0;347.93;0;1427.51;0;0.7
1799.82;200;104;0;368.74;0;1506.23;0;0.68
