#TimeStamp;Bot;Pod;OutputStation
43.36;2;40;0
47.66;2;40;0
49.23;5;37;1
52.09;2;40;0
53.38;5;37;1
56.51;2;40;0
57.42;5;37;1
60.76;2;40;0
61.86;5;37;1
64.95;2;40;0
65.41;3;31;2
66.28;5;37;1
69.32;2;40;0
69.54;3;31;2
70.7;5;37;1
73.16;2;40;0
73.96;3;31;2
75.12;5;37;1
78.29;3;31;2
79.37;5;37;1
80;4;34;0
82.29;3;31;2
83.79;5;37;1
84.21;4;34;0
86.25;3;31;2
88.21;4;34;0
88.21;5;37;1
90.38;3;31;2
91.89;4;34;0
94.8;3;31;2
95.2;0;28;1
96.25;4;34;0
99.18;0;28;1
99.18;3;31;2
100.04;4;34;0
103.27;0;28;1
103.27;3;31;2
104.15;4;34;0
107.18;0;28;1
107.18;3;31;2
108.3;4;34;0
111.22;0;28;1
111.31;3;31;2
112.38;4;34;0
115.31;0;28;1
115.73;3;31;2
116.8;4;34;0
119.36;0;28;1
120.15;3;31;2
120.87;4;34;0
124.2;3;31;2
125.29;4;34;0
128.62;3;31;2
129.36;4;34;0
132.85;3;31;2
136.95;3;31;2
141.37;3;31;2
144.56;5;51;1
145.43;3;31;2
148.03;2;58;0
148.96;5;51;1
152.07;2;58;0
152.49;1;42;2
153.15;5;51;1
156.49;2;58;0
156.49;1;42;2
157.53;5;51;1
160.66;2;58;0
160.74;1;42;2
161.25;5;51;1
164.74;2;58;0
164.74;1;42;2
165.21;5;51;1
168.79;2;58;0
168.79;1;42;2
169.57;5;51;1
172.83;2;58;0
173.99;5;51;1
177.27;2;58;0
178.16;5;51;1
181.42;2;58;0
182.13;5;51;1
185.69;2;58;0
189.24;0;2;1
190.11;2;58;0
193.6;0;2;1
194.53;2;58;0
197.65;0;2;1
198.69;2;58;0
201.77;0;2;1
205.75;4;48;0
205.75;0;2;1
209.54;4;48;0
209.94;0;2;1
213.97;4;48;0
214.02;0;2;1
217.89;4;48;0
218.16;0;2;1
221.71;4;48;0
222.58;0;2;1
226;4;48;0
226.7;0;2;1
227.54;3;20;2
230;4;48;0
231.12;0;2;1
231.95;3;20;2
234.05;4;48;0
235.59;0;2;1
236.04;3;20;2
238.17;4;48;0
239.63;0;2;1
240;3;20;2
244;0;2;1
244;3;20;2
248.1;0;2;1
248.1;3;20;2
248.17;2;34;0
252.17;3;20;2
252.43;2;34;0
256.26;3;20;2
256.89;2;34;0
260.68;3;20;2
261.1;2;34;0
264.4;5;15;1
264.98;3;20;2
265.1;2;34;0
268.56;5;15;1
269.1;3;20;2
272.98;5;15;1
273.31;3;20;2
277.03;5;15;1
277.42;3;20;2
281.24;5;15;1
281.84;3;20;2
285.35;5;15;1
286.26;3;20;2
289.42;5;15;1
290.71;3;20;2
293.53;5;15;1
295.1;3;20;2
297.61;5;15;1
298.88;3;20;2
301.61;5;15;1
305.69;5;15;1
306.18;1;19;2
309.69;5;15;1
310.22;1;19;2
314.27;1;19;2
318.31;1;19;2
322.36;2;58;0
323.14;0;50;1
327.26;0;50;1
331.68;0;50;1
335.77;0;50;1
337.24;4;25;0
339.85;0;50;1
341.34;4;25;0
343.69;0;50;1
345.51;4;25;0
349.65;4;25;0
353.76;4;25;0
357.83;4;25;0
362.09;4;25;0
363.51;3;30;2
367.7;3;30;2
372.07;3;30;2
376.12;3;30;2
380.54;3;30;2
381.51;5;52;1
384.8;3;30;2
385.73;5;52;1
388.84;3;30;2
389.77;5;52;1
396.49;1;23;2
398.84;2;59;0
400.82;1;23;2
402.87;2;59;0
404.87;1;23;2
407;2;59;0
408.79;1;23;2
411.42;2;59;0
411.89;0;21;1
412.51;1;23;2
415.84;2;59;0
416.24;0;21;1
416.96;1;23;2
420.04;2;59;0
420.24;0;21;1
421.38;1;23;2
424.24;2;59;0
424.24;0;21;1
425.42;1;23;2
428.29;2;59;0
428.29;0;21;1
432.33;2;59;0
436.43;2;59;0
440.6;2;59;0
445.02;2;59;0
447.23;3;29;2
449.19;2;59;0
451.48;3;29;2
453.48;2;59;0
455.52;3;29;2
457.52;2;59;0
459.19;3;29;2
461.49;2;59;0
463.57;3;29;2
466.04;5;56;1
467.99;3;29;2
468.39;4;54;0
470.34;5;56;1
472.34;3;29;2
472.62;4;54;0
474.39;5;56;1
476.7;4;54;0
478.15;5;56;1
480.83;4;54;0
482.25;5;56;1
485.06;4;54;0
485.1;1;7;2
486.21;5;56;1
489.1;4;54;0
489.41;1;7;2
490.43;5;56;1
493.16;4;54;0
493.58;1;7;2
494.49;5;56;1
497.55;4;54;0
497.59;1;7;2
498.94;5;56;1
501.59;4;54;0
501.83;1;7;2
503.36;5;56;1
505.64;4;54;0
505.68;1;7;2
507.64;5;56;1
509.68;4;54;0
509.99;1;7;2
511.69;5;56;1
513.72;4;54;0
514.05;1;7;2
517.77;4;54;0
518.36;1;7;2
518.78;0;12;1
522.68;1;7;2
522.82;0;12;1
526.87;0;12;1
530.92;0;12;1
533.3;2;21;0
535.23;0;12;1
535.5;3;43;2
537.3;2;21;0
539.46;0;12;1
539.88;3;43;2
541.46;2;21;0
543.5;0;12;1
544.01;3;43;2
545.13;2;21;0
547.5;0;12;1
547.97;3;43;2
552.13;3;43;2
556.17;3;43;2
573.95;5;2;1
578.21;5;2;1
582.4;5;2;1
586.32;5;2;1
594.41;4;41;0
598.81;4;41;0
598.81;1;16;2
602.9;1;16;2
603.08;4;41;0
607.12;4;41;0
607.12;1;16;2
611.36;1;16;2
611.5;4;41;0
615.05;0;46;1
615.5;1;16;2
615.55;4;41;0
619.21;0;46;1
619.21;1;16;2
619.55;4;41;0
623.3;0;46;1
623.55;1;16;2
623.59;4;41;0
627.38;0;46;1
627.59;1;16;2
630.68;2;17;0
631.55;0;46;1
632.01;1;16;2
635.1;2;17;0
635.52;0;46;1
636.43;1;16;2
639.47;2;17;0
639.75;0;46;1
640.88;1;16;2
643.52;2;17;0
644;0;46;1
647.51;2;17;0
647.98;3;12;2
648.42;0;46;1
651.43;2;17;0
652.09;3;12;2
652.76;0;46;1
655.56;2;17;0
655.84;3;12;2
657.17;0;46;1
660.05;3;12;2
660.97;0;46;1
668.1;5;11;1
672.43;5;11;1
676.43;5;11;1
680.26;5;11;1
684.14;5;11;1
688.47;5;11;1
698.58;4;5;0
701.45;1;41;2
702.8;4;5;0
706.87;4;5;0
711.29;4;5;0
715.61;4;5;0
719.9;4;5;0
724;4;5;0
727.86;0;56;1
730.37;3;17;2
731.9;0;56;1
734.41;3;17;2
736.32;0;56;1
737.92;2;38;0
742.14;2;38;0
746.05;2;38;0
750.19;2;38;0
754.61;2;38;0
758.46;2;38;0
762.65;2;38;0
767.07;2;38;0
776.06;1;59;2
776.94;5;39;1
780.14;1;59;2
780.99;5;39;1
784.28;1;59;2
785.19;5;39;1
788.28;1;59;2
789.61;5;39;1
793.87;5;39;1
798.03;5;39;1
804.86;0;37;1
805.01;3;13;2
809.01;0;37;1
809.89;4;6;0
812.67;0;37;1
814;4;6;0
817.04;0;37;1
818.42;4;6;0
820.9;0;37;1
822.46;4;6;0
825.09;0;37;1
826.18;4;6;0
829.13;0;37;1
830.54;4;6;0
833.18;0;37;1
834.96;4;6;0
837.22;0;37;1
841.27;0;37;1
841.31;2;32;0
845.73;2;32;0
849.77;2;32;0
853.81;2;32;0
857.86;2;32;0
861.86;2;32;0
865.91;2;32;0
869.69;2;32;0
875.21;3;46;2
882.52;1;26;2
886.79;1;26;2
889.3;5;33;1
890.81;1;26;2
893.38;5;33;1
894.86;1;26;2
897.44;5;33;1
899.27;1;26;2
901.77;5;33;1
903.31;1;26;2
905.86;5;33;1
907.43;1;26;2
909.9;5;33;1
911.81;1;26;2
917.12;0;57;1
921.19;0;57;1
925.17;0;57;1
925.53;4;10;0
928.99;0;57;1
929.86;4;10;0
932.99;0;57;1
933.91;4;10;0
938.12;4;10;0
942;4;10;0
943.04;3;32;2
946.2;4;10;0
950.33;4;10;0
954.37;4;10;0
958.79;4;10;0
963.1;4;10;0
967.21;4;10;0
971.63;4;10;0
976.05;4;10;0
979.38;5;11;1
980.29;4;10;0
983.79;5;11;1
984.44;4;10;0
988.6;4;10;0
991.39;1;55;2
992.77;4;10;0
995.43;1;55;2
997.19;4;10;0
999.51;1;55;2
1001.51;4;10;0
1003.49;1;55;2
1005.57;4;10;0
1007.46;1;55;2
1010.94;0;30;1
1011.56;1;55;2
1012.7;2;36;0
1015.28;0;30;1
1015.82;1;55;2
1016.79;2;36;0
1019.7;0;30;1
1020.24;1;55;2
1020.9;2;36;0
1023.87;0;30;1
1024.66;2;36;0
1024.66;1;55;2
1027.61;0;30;1
1028.84;2;36;0
1028.94;1;55;2
1031.99;0;30;1
1033.36;1;55;2
1035.83;0;30;1
1037.54;1;55;2
1040.04;0;30;1
1044.09;0;30;1
1044.09;3;27;2
1048.13;3;27;2
1052.19;3;27;2
1056.61;3;27;2
1060.69;3;27;2
1062.44;5;8;1
1064.99;3;27;2
1066.65;5;8;1
1068.16;4;40;0
1069.27;3;27;2
1070.91;5;8;1
1072.41;4;40;0
1073.32;3;27;2
1074.7;5;8;1
1076.45;4;40;0
1077.37;3;27;2
1079.07;5;8;1
1080.41;4;40;0
1081.69;3;27;2
1083.24;5;8;1
1085.74;3;27;2
1087.3;5;8;1
1089.81;3;27;2
1091.72;5;8;1
1096.14;5;8;1
1100.18;2;51;0
1100.18;5;8;1
1104.02;2;51;0
1104.26;5;8;1
1108.54;5;8;1
1108.93;1;38;2
1112.89;5;8;1
1113.09;1;38;2
1117.11;5;8;1
1117.11;1;38;2
1121.51;5;8;1
1121.51;1;38;2
1125.74;1;38;2
1128.57;0;48;1
1129.9;1;38;2
1132.62;0;48;1
1134.27;1;38;2
1136.62;0;48;1
1138.65;1;38;2
1140.67;0;48;1
1142.69;1;38;2
1144.34;0;48;1
1146.71;1;38;2
1148.69;0;48;1
1152.74;0;48;1
1156.5;0;48;1
1160.64;0;48;1
1164.04;3;4;2
1164.78;0;48;1
1167.43;4;18;0
1168.08;3;4;2
1168.82;0;48;1
1171.49;4;18;0
1172.26;3;4;2
1175.8;4;18;0
1176.21;3;4;2
1180;4;18;0
1180.21;3;4;2
1182.55;5;53;1
1184.16;4;18;0
1184.5;3;4;2
1186.63;5;53;1
1188.5;4;18;0
1190.67;5;53;1
1192.65;4;18;0
1194.85;5;53;1
1196.69;4;18;0
1198.81;5;53;1
1201.09;4;18;0
1202.89;5;53;1
1205.15;4;18;0
1207.09;5;53;1
1209.22;4;18;0
1211.26;5;53;1
1213.19;4;18;0
1215.31;5;53;1
1217.19;4;18;0
1224.08;2;0;0
1228.35;2;0;0
1228.82;1;1;2
1232.4;2;0;0
1232.86;1;1;2
1233.28;0;24;1
1236.44;2;0;0
1237.28;1;1;2
1237.61;0;24;1
1240.28;2;0;0
1241.58;1;1;2
1241.91;0;24;1
1244.43;2;0;0
1245.3;1;1;2
1246.2;0;24;1
1248.49;2;0;0
1249.62;1;1;2
1250.13;0;24;1
1252.53;2;0;0
1253.84;1;1;2
1254.39;0;24;1
1256.58;2;0;0
1258.3;0;24;1
1258.3;1;1;2
1260.62;2;0;0
1262.34;0;24;1
1262.58;1;1;2
1264.62;2;0;0
1266.58;0;24;1
1269.38;3;11;2
1273.42;3;11;2
1282.32;4;40;0
1283.5;5;51;1
1286.55;4;40;0
1287.89;5;51;1
1290.98;4;40;0
1292.24;5;51;1
1295.27;4;40;0
1296.24;5;51;1
1300.04;5;51;1
1328.97;1;42;2
1333.38;1;42;2
1337.33;0;0;1
1337.8;1;42;2
1341.63;0;0;1
1342.22;1;42;2
1346.05;0;0;1
1346.64;1;42;2
1350.83;1;42;2
1351.67;4;25;0
1355.25;1;42;2
1359.67;1;42;2
1364.65;2;44;0
1367.02;3;52;2
1369.06;2;44;0
1371.07;3;52;2
1373.12;2;44;0
1374.99;3;52;2
1377.2;2;44;0
1378.88;3;52;2
1381.42;2;44;0
1382.91;3;52;2
1384;5;17;1
1385.62;2;44;0
1386.92;3;52;2
1388.25;5;17;1
1389.62;2;44;0
1391.11;3;52;2
1392.33;5;17;1
1395.16;3;52;2
1396.09;5;17;1
1399.23;3;52;2
1400.38;5;17;1
1403.6;3;52;2
1404.81;5;17;1
1407.65;3;52;2
1408.53;5;17;1
1411.69;3;52;2
1412.57;5;17;1
1416.88;5;17;1
1421.3;5;17;1
1424.1;4;46;0
1425.59;5;17;1
1428.14;4;46;0
1432.19;4;46;0
1432.19;0;50;1
1436.16;4;46;0
1436.23;0;50;1
1439.6;1;43;2
1440.28;0;50;1
1443.65;1;43;2
1444.07;0;50;1
1448.07;0;50;1
1448.07;1;43;2
1452.19;0;50;1
1452.19;1;43;2
1454.32;2;36;0
1456.36;1;43;2
1458.37;2;36;0
1460.4;1;43;2
1462.34;2;36;0
1464.46;1;43;2
1466.35;2;36;0
1468.89;1;43;2
1472.94;1;43;2
1477;1;43;2
1481.42;1;43;2
1485.69;1;43;2
1502.16;5;55;1
1503.44;3;51;2
1506.37;5;55;1
1507.51;3;51;2
1510.79;5;55;1
1511.93;3;51;2
1515.11;5;55;1
1517.92;4;22;0
1519.28;5;55;1
1522.27;4;22;0
1523.67;5;55;1
1526.32;4;22;0
1527.47;5;55;1
1533.55;2;49;0
1535.09;0;3;1
1537.64;2;49;0
1539.16;0;3;1
1541.79;2;49;0
1543.01;1;23;2
1543.1;0;3;1
1545.71;2;49;0
1547.06;0;3;1
1547.06;1;23;2
1550.06;2;49;0
1551.09;1;23;2
1554.11;2;49;0
1555.2;1;23;2
1558.53;2;49;0
1559.25;1;23;2
1562.57;2;49;0
1563.71;1;23;2
1566.56;2;49;0
1591.36;3;13;2
1595.46;3;13;2
1599.9;3;13;2
1600.67;5;25;1
1604;3;13;2
1604.74;5;25;1
1608.42;3;13;2
1608.93;5;25;1
1609.35;4;45;0
