#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.64;0;1
5.73;0;2
6.81;0;2
7.9;0;1
8.99;0;1
10.12;0;2
11.23;0;1
12.58;0;1
13.82;0;2
16.49;0;1
23.91;0;1
26.82;0;1
27.99;0;1
29;0;2
30.42;0;1
31.58;0;2
32.78;0;2
33.87;0;1
35.26;0;1
36.33;0;2
37.42;0;1
39.37;0;1
40.46;0;1
41.71;0;2
45.67;0;1
47.07;0;1
48.5;0;1
52.57;0;1
56.34;0;1
57.72;0;1
59.14;0;1
61.6;0;1
67.3;0;1
73.15;0;1
74.81;0;1
77.18;0;1
81.99;0;1
84.66;0;1
86.68;0;1
94.94;0;1
96.94;0;1
98.23;0;1
99.61;0;1
104.07;0;1
109.45;0;1
112.16;0;1
115;0;1
117.09;0;1
119.67;0;1
123.17;0;1
124.25;0;1
125.29;0;1
128.79;0;1
132.22;0;1
134.83;0;1
141.06;0;1
143.73;0;1
144.76;0;1
147.17;0;1
152.76;0;1
153.98;0;1
156.49;0;1
161.6;0;1
164.27;0;1
165.36;0;1
168.03;0;1
170.08;0;1
172.17;0;1
174.54;0;1
176.58;0;1
182.71;0;1
184.12;0;3
186.21;0;1
187.62;0;1
190.17;0;1
193.63;0;1
194.75;0;2
200.84;0;1
202.37;0;1
204.88;0;2
207.87;0;1
208.9;0;1
211.37;0;1
220;0;1
221.15;0;1
222.46;0;1
223.64;0;1
225.12;0;1
226.27;0;1
227.56;0;1
232.49;0;1
234.44;0;2
236.4;0;1
238.87;0;1
241.42;0;1
242.66;0;1
244.61;0;1
247.59;0;1
251.09;0;1
252.94;0;1
254.74;0;1
255.88;0;1
257.74;0;1
259.95;0;1
264.16;0;1
266.79;0;1
270.67;0;1
271.8;0;1
273;0;1
275.67;0;1
277.55;0;1
281.59;0;1
282.76;0;1
285.2;0;1
286.56;0;2
289.23;0;1
295.56;0;1
296.81;0;1
297.81;0;1
298.85;0;1
300.95;0;1
302.35;0;1
303.44;0;1
304.45;0;1
305.49;0;1
308.06;0;1
311.2;0;1
313.96;0;1
315.37;0;1
318.87;0;1
321.95;0;1
323.46;0;1
329.62;0;1
332.87;0;1
333.99;0;2
337.29;0;1
338.59;0;2
339.68;0;1
341.1;0;1
343.41;0;1
344.47;0;2
345.56;0;2
347.05;0;1
348.21;0;2
350.81;0;1
351.9;0;1
355.4;0;1
357.05;0;1
358.56;0;1
359.69;0;1
361.95;0;1
