#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;105.47;0.04;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.82;105.47;0.13;PP/0,TA/0.08,IS/0,PS/0.03,RB/0,OB/0.02,RP/0
119.95;105.47;0.21;PP/0,TA/0.14,IS/0,PS/0.08,RB/0,OB/0.02,RP/0
179.96;105.47;0.23;PP/0.01,TA/0.15,IS/0,PS/0.09,RB/0,OB/0.02,RP/0
239.93;105.47;0.26;PP/0.01,TA/0.16,IS/0,PS/0.09,RB/0,OB/0.02,RP/0
299.93;105.47;0.29;PP/0.01,TA/0.16,IS/0,PS/0.09,RB/0,OB/0.03,RP/0
359.68;105.47;0.32;PP/0.01,TA/0.18,IS/0,PS/0.09,RB/0,OB/0.03,RP/0
419.77;105.47;0.35;PP/0.01,TA/0.18,IS/0,PS/0.1,RB/0,OB/0.03,RP/0
479.6;105.47;0.38;PP/0.02,TA/0.2,IS/0,PS/0.1,RB/0,OB/0.03,RP/0
539.84;105.47;0.4;PP/0.02,TA/0.2,IS/0,PS/0.1,RB/0,OB/0.04,RP/0
599.97;105.47;0.43;PP/0.02,TA/0.22,IS/0,PS/0.11,RB/0,OB/0.04,RP/0
659.75;105.36;0.46;PP/0.02,TA/0.22,IS/0,PS/0.11,RB/0,OB/0.04,RP/0
719.86;105.13;0.48;PP/0.02,TA/0.23,IS/0,PS/0.11,RB/0,OB/0.04,RP/0
779.85;104.99;0.51;PP/0.03,TA/0.24,IS/0,PS/0.11,RB/0,OB/0.04,RP/0
839.82;104.99;0.53;PP/0.03,TA/0.24,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
899.79;104.99;0.56;PP/0.03,TA/0.25,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
959.96;104.99;0.59;PP/0.03,TA/0.27,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
1019.89;104.84;0.62;PP/0.03,TA/0.28,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
1079.88;104.54;0.64;PP/0.04,TA/0.28,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1139.96;104.26;0.66;PP/0.04,TA/0.29,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1199.84;104.22;0.68;PP/0.04,TA/0.29,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1259.84;104.22;0.71;PP/0.04,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1319.76;104.22;0.73;PP/0.04,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1379.96;104.22;0.75;PP/0.05,TA/0.31,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1439.74;104.22;0.77;PP/0.05,TA/0.31,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1499.98;104.22;0.79;PP/0.05,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1559.8;104.21;0.81;PP/0.05,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1619.94;104.21;0.83;PP/0.05,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1679.58;104.21;0.85;PP/0.06,TA/0.33,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1739.67;103.88;0.88;PP/0.06,TA/0.34,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1799.94;103.88;0.9;PP/0.06,TA/0.34,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
