#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
60;0;0;1;3;0/60;0/48.31,1/59.58,2/58.04;0/60;0/60,1/60,2/60;0/0;0/13,1/11,2/9;0/0;0/19,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/1,2/1
119.94;0;3;1;3;0/119.94;0/73.84,1/66.78,2/61.73;0/119.94;0/119.94,1/119.94,2/119.94;0/0;0/13,1/13,2/12;0/0;0/20,1/18,2/15;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/0;0/0;0/13,1/15,2/15
179.81;0;7;1;3;0/179.81;0/81.44,1/80.63,2/89.63;0/179.81;0/179.81,1/179.81,2/179.81;0/0;0/11,1/10,2/10;0/0;0/15,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/2;0/0;0/26,1/26,2/24
239.93;0;9;1;3;0/239.93;0/106.47,1/114.14,2/97.08;0/239.93;0/239.93,1/239.93,2/239.93;0/0;0/9,1/9,2/15;0/0;0/14,1/15,2/19;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/2;0/0;0/35,1/34,2/37
299.78;0;12;1;3;0/299.78;0/128.09,1/119.08,2/136;0/299.78;0/299.78,1/299.78,2/299.78;0/0;0/10,1/15,2/9;0/0;0/17,1/17,2/16;0/0;0/2,1/2,2/2;0/0;0/5,1/3,2/4;0/0;0/45,1/48,2/43
359.89;0;16;1;3;0/359.89;0/147.08,1/165.58,2/143.59;0/359.89;0/359.89,1/359.89,2/359.89;0/0;0/11,1/14,2/11;0/0;0/18,1/19,2/15;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/5;0/0;0/56,1/51,2/57
419.89;0;19;1;3;0/419.89;0/163.28,1/178.37,2/146.34;0/419.89;0/419.89,1/419.89,2/419.89;0/0;0/11,1/15,2/12;0/0;0/16,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/8,1/6,2/5;0/0;0/68,1/63,2/71
479.93;0;23;1;3;0/479.93;0/170.06,1/230.6,2/188.02;0/479.93;0/479.93,1/479.93,2/479.93;0/0;0/10,1/15,2/12;0/0;0/14,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/7;0/0;0/81,1/65,2/76
539.96;0;27;1;3;0/539.96;0/203.38,1/277.15,2/215.97;0/539.96;0/539.96,1/539.96,2/539.96;0/0;0/9,1/11,2/12;0/0;0/13,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/8;0/0;0/88,1/69,2/84
599.62;0;30;1;3;0/599.62;0/226.51,1/285.08,2/256.4;0/599.62;0/599.62,1/599.62,2/599.62;0/0;0/9,1/12,2/11;0/0;0/12,1/17,2/17;0/0;0/2,1/2,2/2;0/0;0/11,1/10,2/9;0/0;0/98,1/82,2/89
659.86;0;33;1;3;0/659.86;0/235.14,1/300.5,2/270.48;0/659.86;0/659.86,1/659.86,2/659.86;0/0;0/13,1/10,2/11;0/0;0/13,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/12,1/11,2/10;0/0;0/111,1/94,2/101
