#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;200;0;0;0;0;0;0.25
59.73;0;200;0;55.02;0;59.73;0;0.27
119.99;0;200;0;100.04;0;118.47;0;0.28
179.94;0;200;0;131.53;0;171.58;0;0.31
239.74;0;200;0;154.06;0;209.15;0;0.26
299.78;0;200;0;181.31;0;258.18;0;0.27
359.97;0;200;0;210.31;0;311.76;0;0.27
419.91;0;200;0;226.63;0;340.55;0;0.28
479.68;0;200;0;237.02;0;390.7;0;0.28
540;0;200;0;231.84;0;410.37;0;0.38
599.89;0;200;0;248.7;0;464.52;0;0.36
659.61;0;200;0;255.58;0;515.31;0;0.35
719.97;0;200;0;272.88;0;529.57;0;0.37
779.94;0;200;0;293.84;0;602.3;0;0.34
839.96;149;200;5.62;314.55;5.71;626.01;0.03;0.41
899.9;149;200;65.56;308.13;65.65;641.35;0.03;0.46
959.77;143;200;121.08;332.26;125.53;690.75;0.03;0.39
1019.91;137;200;172.87;345.68;185.66;702.78;0.02;0.39
1079.99;131;200;220.51;361.3;245.75;751.71;0.02;0.45
1139.59;125;200;263.55;390.78;305.35;814.82;0.03;0.42
1199.94;119;200;303.89;389.13;365.69;825.17;0.03;0.39
1259.97;113;200;339.46;410.15;425.73;848.72;0.03;0.41
1319.96;107;200;372.08;432.7;485.71;978.82;0.03;0.39
1379.96;200;200;405.38;442.12;545.71;1035.31;0.03;0.42
1439.68;200;200;439.35;430.95;605.44;993.16;0.04;0.44
1499.96;200;200;473.13;423.78;665.72;950.72;0.04;0.5
1559.66;200;200;506.64;449.8;725.42;1052.33;0.03;0.45
1620;200;200;545.22;461.09;785.75;1050.1;0.03;0.48
1679.84;200;200;580.75;491.04;845.6;1090.37;0.03;0.45
1739.84;200;200;596.12;516.17;905.59;1080.73;0.03;0.36
1799.76;200;200;637.21;512.14;965.51;1129.35;0.03;0.43
1859.79;200;200;679.22;555.89;1025.55;1183.32;0.03;0.43
1919.78;200;200;685.09;552.12;1085.53;1285.75;0.02;0.45
1979.92;200;200;721.21;584.66;1145.67;1255.44;0.04;0.43
2039.81;200;185;728.5;603.69;1205.56;1275.21;0.05;0.4
2099.63;200;175;683.64;590.31;1265.37;1485.6;0.05;0.5
2159.9;200;169;697.63;639.31;1325.64;1544.18;0.05;0.49
2219.66;200;155;708.3;630.61;1385.39;1602.17;0.05;0.46
2279.59;200;144;689.1;636.84;1445.32;1522.21;0.05;0.4
2339.8;200;136;674.47;680.29;1505.53;1612.55;0.05;0.45
2399.76;200;125;648.25;698.64;1565.48;1655.88;0.05;0.43
2459.78;200;114;630.58;704.41;1625.5;1593.03;0.05;0.39
2519.88;200;106;589.18;728.04;1652.93;1711.03;0.04;0.43
2579.64;200;95;543.46;689.24;1680.03;1649.74;0.04;0.44
2639.75;200;88;530.62;660.25;1708.46;1649.95;0.04;0.4
2699.83;200;79;544.11;673.54;1736.22;1671.21;0.03;0.4
2759.65;200;73;543.45;664.96;1765.32;1701.83;0.04;0.43
2819.82;200;66;606.23;702.85;1817.07;1752.97;0.04;0.45
2879.95;200;52;630.62;714.45;1849.12;1712.74;0.04;0.37
2939.93;200;47;663.29;748.3;1905.59;1675.01;0.04;0.35
