% time handles
0 0
10 2
20 4
30 5
40 7
50 9
60 13
70 14
80 17
90 20
100 23
110 24
120 22
130 21
140 20
150 19
160 17
170 17
180 19
190 20
200 17
210 18
220 17
230 17
240 16
250 17
260 19
270 20
280 20
290 20
300 18
310 18
320 19
330 16
340 16
350 17
360 20
370 20
380 19
390 21
400 21
410 21
420 19
430 18
440 20
450 19
460 20
470 21
480 21
490 22
500 20
510 18
520 19
530 17
540 19
550 17
560 18
570 18
580 15
590 15
600 12
610 12
620 12
630 14
640 16
650 15
660 17
670 16
680 15
690 15
700 14
710 15
720 14
730 17
740 17
750 15
760 16
770 16
780 18
790 17
800 17
810 18
820 17
830 17
840 16
850 15
860 13
870 15
880 17
890 17
900 18
910 17
920 20
930 20
940 20
950 21
960 20
970 20
980 17
990 17
1000 16
1010 15
1020 14
1030 17
1040 20
1050 18
1060 17
1070 18
1080 18
1090 15
1100 12
1110 11
1120 11
1130 10
1140 10
1150 12
1160 16
1170 17
1180 16
1190 16
1200 17
1210 16
1220 14
1230 14
1240 17
1250 15
1260 14
1270 16
1280 16
1290 15
1300 15
1310 18
1320 19
1330 18
1340 19
1350 20
1360 20
1370 19
1380 17
1390 17
1400 15
1410 16
1420 17
1430 16
1440 17
1450 17
1460 18
1470 19
1480 17
1490 19
1500 21
1510 21
1520 20
1530 17
1540 17
1550 15
1560 14
1570 14
1580 13
1590 16
1600 16
1610 19
1620 19
1630 18
1640 20
1650 18
1660 18
1670 14
1680 14
1690 14
1700 14
1710 14
1720 13
1730 13
1740 11
1750 11
1760 9
1770 11
1780 11
1790 13
1800 16
1810 16
1820 18
1830 18
1840 18
1850 16
1860 15
1870 16
1880 14
1890 11
1900 11
1910 11
1920 10
1930 9
1940 10
1950 14
1960 14
1970 17
1980 19
1990 20
2000 22
2010 20
2020 20
2030 20
2040 18
2050 18
2060 16
2070 14
2080 14
2090 12
2100 12
2110 10
2120 10
2130 10
2140 10
2150 11
2160 12
2170 15
2180 15
2190 16
2200 18
2210 19
2220 18
2230 16
2240 16
2250 15
2260 13
2270 11
2280 11
2290 10
2300 9
2310 10
2320 10
2330 12
2340 13
2350 15
2360 16
2370 17
2380 16
2390 12
2400 12
2410 11
2420 11
2430 10
2440 11
2450 14
2460 12
2470 11
2480 10
2490 9
2500 8
2510 8
2520 9
2530 11
2540 12
2550 16
2560 18
2570 17
2580 17
2590 18
2600 19
2610 17
2620 16
2630 14
2640 13
2650 10
2660 9
2670 10
2680 11
2690 13
2700 15
2710 16
2720 16
2730 12
2740 11
2750 11
2760 9
2770 9
2780 10
2790 12
2800 13
2810 15
2820 16
2830 15
2840 15
2850 15
2860 14
2870 12
2880 13
2890 14
2900 13
2910 11
2920 11
2930 12
2940 10
2950 10
2960 9
2970 12
2980 13
2990 11
3000 11
3010 9
3020 10
3030 9
3040 7
3050 10
3060 12
3070 16
3080 17
3090 19
3100 21
3110 19
3120 16
3130 13
3140 11
3150 8
3160 5
3170 4
3180 6
3190 7
3200 8
3210 8
3220 11
3230 13
3240 12
3250 12
3260 11
3270 10
3280 9
3290 8
3300 7
3310 7
3320 7
3330 8
3340 8
3350 6
3360 8
3370 6
3380 6
3390 6
3400 4
3410 5
3420 3
3430 6
3440 5
3450 6
3460 7
3470 7
3480 7
3490 5
3500 8
3510 7
3520 8
3530 7
3540 8
3550 7
3560 4
3570 3
3580 3
3590 3
3600 3
3610 3
3620 4
3630 7
3640 5
3650 5
3660 4
3670 4
3680 4
3690 2
3700 3
3710 3
3720 3
3730 4
3740 4
3750 5
3760 4
3770 5
3780 5
3790 4
3800 3
3810 1
3820 2
3830 1
3840 1
3850 2
3860 2
3870 2
3880 1
3890 1
3900 1
3910 0
3920 0
3930 0
3940 0
3950 0
3960 0
3970 0
3980 0
3990 0
4000 0
4010 0
4020 0
4030 0
4040 0
4050 0
4060 0
4070 0
4080 0
4090 0
4100 0
4110 0
4120 0
4130 0
4140 0
4150 0
4160 0
4170 0
4180 0
4190 0
4200 0
4210 0
4220 0
4230 0
4240 0
4250 0
4260 0
4270 0
4280 0
4290 0
4300 0
4310 0
4320 0
4330 0
4340 0
4350 0
4360 0
4370 0
4380 0
4390 0
4400 0
4410 0
4420 0
4430 0
4440 0
4450 0
4460 0
4470 0
4480 0
4490 0
4500 0
4510 0
4520 0
4530 0
4540 0
4550 0
4560 0
4570 0
4580 0
4590 0
4600 0
4610 0
4620 0
4630 0
4640 0
4650 0
4660 0
4670 0
4680 0
4690 0
4700 0
4710 0
4720 0
4730 0
4740 0
4750 0
4760 0
4770 0
4780 0
4790 0
4800 0
4810 0
4820 0
4830 0
4840 0
4850 0
4860 0
4870 0
4880 0
4890 0
4900 0
4910 0
4920 0
4930 0
4940 0
4950 0
4960 0
4970 0
4980 0
4990 0
5000 0
5010 0
5020 0
5030 0
5040 0
5050 0
5060 0
5070 0
5080 0
5090 0
5100 0
5110 0
5120 0
5130 0
5140 0
5150 0
5160 0
5170 0
5180 0
5190 0
5200 0
5210 0
5220 0
5230 0
5240 0
5250 0
5260 0
