#TimeStamp;Bot;Pod;OutputStation
28.11;2;7;4
28.15;6;26;2
33.38;12;67;1
35.78;9;99;0
38.15;2;7;4
45.95;9;99;0
46.61;3;93;2
47.92;2;7;4
56.37;9;99;0
56.42;3;93;2
57.23;15;111;3
58.11;2;7;4
66.42;9;99;0
66.42;3;93;2
68.13;2;7;4
76.47;3;93;2
76.69;9;99;0
76.73;17;4;3
77.39;11;70;1
78.2;4;31;4
86.69;3;93;2
86.73;9;99;0
86.99;17;4;3
87.61;11;70;1
88.31;4;31;4
96.33;3;93;2
96.99;10;190;0
97.12;17;4;3
97.87;11;70;1
98.55;4;31;4
106.73;16;34;2
107.06;10;190;0
107.06;17;4;3
108.28;7;60;1
108.97;4;31;4
116.78;16;34;2
117.2;10;190;0
117.2;17;4;3
118.7;7;60;1
119.02;4;31;4
126.98;16;34;2
127.24;10;190;0
127.24;17;4;3
128.61;18;8;1
129.44;4;31;4
137.05;16;34;2
137.47;10;190;0
137.47;5;12;3
138.75;18;8;1
139.52;19;168;4
147.21;16;34;2
147.72;13;136;0
147.72;5;12;3
148.73;18;8;1
149.67;19;168;4
157.26;16;34;2
157.64;13;136;0
157.84;5;12;3
158.79;12;69;1
159.84;19;168;4
167.45;1;166;2
167.84;13;136;0
167.88;0;56;3
168.86;12;69;1
169.88;19;168;4
177.5;1;166;2
177.88;13;136;0
178.03;0;56;3
179.26;12;69;1
180.07;19;168;4
187.88;1;166;2
187.92;13;136;0
187.92;15;10;3
189.3;11;13;1
190.23;8;170;4
197.92;1;166;2
198.14;13;136;0
198.14;15;10;3
199.35;11;13;1
200.34;8;170;4
208.09;1;166;2
208.43;14;43;0
208.43;15;10;3
209.56;11;13;1
210.23;8;170;4
218.43;1;166;2
218.43;15;10;3
218.49;14;43;0
219.6;11;13;1
220.38;8;170;4
228.1;15;10;3
228.49;6;2;2
228.54;14;43;0
230;11;13;1
230.8;2;108;4
238.36;17;177;3
238.49;6;2;2
238.54;14;43;0
240.05;7;78;1
240.88;2;108;4
248.14;17;177;3
248.49;3;77;2
248.88;14;43;0
250.1;7;78;1
250.93;2;108;4
258.38;17;177;3
258.54;3;77;2
259.01;9;73;0
260.17;7;78;1
261.17;2;108;4
268.27;17;177;3
268.49;3;77;2
269.19;9;73;0
270.59;18;9;1
271.4;2;108;4
278.49;17;177;3
278.76;16;35;2
279.23;9;73;0
280.71;18;9;1
281.47;2;108;4
288.76;0;163;3
289.22;16;35;2
289.65;10;65;0
290.49;18;9;1
291.47;4;50;4
298.59;0;163;3
299.27;16;35;2
300.07;10;65;0
300.83;18;9;1
301.52;4;50;4
308.69;0;163;3
309.08;16;35;2
310.05;10;65;0
310.53;12;19;1
311.76;19;178;4
318.94;0;163;3
319.4;16;35;2
320.11;10;65;0
320.87;12;19;1
329.39;0;163;3
329.44;1;1;2
330.57;10;65;0
330.99;12;19;1
339.47;5;57;3
339.51;1;1;2
340.8;10;65;0
340.95;12;19;1
342.09;2;74;4
349.51;5;57;3
349.55;6;143;2
350.85;13;101;0
350.85;12;19;1
352.32;2;74;4
359.55;5;57;3
359.82;6;143;2
361.06;13;101;0
361.06;11;137;1
362.39;2;74;4
369.44;5;57;3
370;6;143;2
370.92;13;101;0
371.11;11;137;1
372.43;2;74;4
379.56;5;57;3
380.23;6;143;2
380.9;13;101;0
381.15;11;137;1
382.6;8;161;4
389.61;5;57;3
390.16;3;86;2
391.11;13;101;0
391.23;11;137;1
392.67;8;161;4
399.74;15;181;3
400.3;3;86;2
400.97;14;167;0
401.23;11;137;1
402.72;8;161;4
409.79;15;181;3
410.35;3;86;2
411.22;14;167;0
411.31;7;105;1
412.81;19;7;4
419.8;17;148;3
420.71;3;86;2
421.27;14;167;0
421.38;7;105;1
422.85;4;0;4
429.59;17;148;3
430.65;16;78;2
431.38;14;167;0
431.38;7;105;1
432.89;4;0;4
439.85;17;148;3
440.76;16;78;2
441.69;9;139;0
441.69;7;105;1
442.57;4;0;4
449.73;17;148;3
451.18;1;79;2
451.73;7;105;1
451.78;9;139;0
452.64;2;85;4
459.79;0;109;3
461.3;1;79;2
461.81;18;67;1
461.85;9;139;0
462.96;2;85;4
470;0;109;3
471.35;6;19;2
471.85;9;139;0
471.85;18;67;1
472.77;2;85;4
480.09;0;109;3
481.85;10;76;0
481.97;18;67;1
482.97;2;85;4
490.01;0;109;3
491.97;10;76;0
491.97;18;67;1
492.39;3;191;2
492.89;8;32;4
500.13;0;109;3
502.04;10;76;0
502.04;12;73;1
502.76;3;191;2
503.02;8;32;4
510.26;0;109;3
512.02;10;76;0
512.09;11;143;1
512.93;16;40;2
513.02;8;32;4
520.35;5;141;3
521.75;10;76;0
522.51;11;143;1
523.05;16;40;2
523.09;8;32;4
530.39;5;141;3
532.05;10;76;0
533.09;16;40;2
533.14;8;32;4
533.48;7;142;1
540.13;5;141;3
542.11;13;124;0
542.97;16;40;2
543.18;8;32;4
543.88;7;142;1
550.37;5;141;3
552.19;13;124;0
553.07;16;40;2
553.14;19;16;4
553.98;7;142;1
560.43;5;141;3
562.44;14;70;0
563.07;16;40;2
563.23;19;16;4
563.88;7;142;1
570.82;15;8;3
572.61;14;70;0
573.18;1;107;2
573.49;2;170;4
580;12;196;1
580.87;15;8;3
582.47;9;133;0
583.49;1;107;2
583.49;2;170;4
590.4;12;196;1
591.01;17;21;3
592.63;9;133;0
593.5;4;127;4
593.54;1;107;2
600.41;12;196;1
601.03;17;21;3
602.7;9;133;0
603.54;1;107;2
603.54;4;127;4
610.27;12;196;1
611.08;17;21;3
613.12;9;133;0
613.59;1;107;2
613.59;4;127;4
620.29;12;196;1
620.92;17;21;3
623.12;9;133;0
624;4;127;4
624.04;1;107;2
630.5;12;196;1
631.22;0;111;3
633.01;9;133;0
634.04;6;155;2
634.35;19;56;4
640.95;11;5;1
641.3;0;111;3
643.34;10;121;0
644.09;6;155;2
644.44;2;112;4
651.02;11;5;1
651.41;0;111;3
653.76;10;121;0
654.41;6;155;2
654.46;2;112;4
661.25;11;5;1
661.48;5;151;3
663.8;10;121;0
664.41;6;155;2
664.46;2;112;4
671.36;11;5;1
671.52;5;151;3
674;10;121;0
674.45;6;155;2
674.54;8;17;4
681.28;18;98;1
681.67;5;151;3
684.07;10;121;0
684.49;3;186;2
684.58;8;17;4
691.4;18;98;1
691.4;5;151;3
694.12;10;121;0
694.54;3;186;2
694.67;8;17;4
701.32;5;151;3
701.74;18;98;1
704.36;13;3;0
704.63;16;73;2
704.74;8;17;4
711.72;5;151;3
711.89;18;98;1
714.63;13;3;0
714.78;4;102;4
721.74;15;37;3
721.93;18;98;1
723.78;1;47;2
724.65;13;3;0
724.88;4;102;4
731.78;18;98;1
731.78;15;37;3
733.85;1;47;2
734.73;13;3;0
734.77;4;102;4
741.94;15;37;3
741.99;7;53;1
744.08;1;47;2
744.81;13;3;0
744.98;4;102;4
751.99;17;84;3
752.38;7;53;1
754.42;1;47;2
754.98;14;175;0
755.02;4;102;4
762.28;17;84;3
762.32;7;53;1
764.74;3;91;2
764.91;14;175;0
765.12;4;102;4
772.29;17;84;3
772.33;7;53;1
774.58;3;91;2
775;9;77;0
775.05;19;28;4
782.33;0;80;3
782.37;12;147;1
784.91;3;91;2
785.05;10;46;0
785.16;19;28;4
792.37;0;80;3
792.44;12;147;1
794.76;3;91;2
795.17;10;46;0
795.38;2;119;4
802.44;12;147;1
802.44;0;80;3
804.94;16;184;2
805.34;10;46;0
805.43;2;119;4
812.35;12;147;1
812.5;0;80;3
814.93;16;184;2
815.37;10;46;0
815.43;2;119;4
822.5;11;137;1
822.55;5;89;3
824.93;16;184;2
825.22;10;46;0
825.43;2;119;4
832.55;18;97;1
832.59;5;89;3
834.99;16;184;2
835.43;13;183;0
835.47;2;119;4
842.59;18;97;1
842.64;5;89;3
845.06;16;184;2
845.47;14;42;0
845.59;8;159;4
852.64;18;97;1
852.64;5;89;3
855.25;6;66;2
855.29;14;42;0
855.64;8;159;4
862.81;18;97;1
862.81;5;89;3
865.32;6;66;2
865.59;14;42;0
865.69;8;159;4
872.97;18;97;1
872.97;5;89;3
875.4;6;66;2
875.69;14;42;0
875.69;8;159;4
883.02;7;130;1
883.02;15;117;3
885.42;6;66;2
885.46;8;159;4
885.73;14;42;0
893.16;7;130;1
893.16;15;117;3
895.5;6;66;2
895.5;8;159;4
895.82;14;42;0
903.41;15;117;3
903.46;7;130;1
905.73;6;66;2
905.73;4;116;4
906.24;9;41;0
913.46;17;195;3
913.61;7;130;1
915.92;1;6;2
916.15;4;116;4
916.3;9;41;0
923.61;17;195;3
923.67;7;130;1
926.19;1;6;2
926.19;4;116;4
926.3;9;41;0
933.66;17;195;3
933.84;7;130;1
935.91;1;6;2
936.25;9;41;0
936.25;19;10;4
943.63;17;195;3
944.22;12;106;1
945.92;1;6;2
946.25;9;41;0
946.34;2;146;4
953.3;17;195;3
954.26;12;106;1
956.12;1;6;2
956.34;9;41;0
956.5;2;146;4
963.71;17;195;3
964.21;12;106;1
966.11;3;58;2
966.39;10;48;0
966.69;2;146;4
974.01;0;193;3
974.59;12;106;1
976.09;3;58;2
976.65;10;48;0
976.65;2;146;4
984.08;0;193;3
985.01;12;106;1
985.93;3;58;2
986.56;10;48;0
986.73;2;146;4
994.21;0;193;3
995.43;11;52;1
996.01;3;58;2
996.76;10;48;0
996.92;8;100;4
1004.48;0;193;3
1005.89;11;52;1
1006.25;16;38;2
1006.83;10;48;0
1007.04;8;100;4
1014.47;0;193;3
1015.84;11;52;1
1016.23;16;38;2
1017.06;13;118;0
1017.06;8;100;4
1024.63;5;119;3
1025.98;11;52;1
1026.61;16;38;2
1026.98;8;100;4
1027.1;13;118;0
1034.89;15;120;3
1036.2;11;52;1
1036.65;16;38;2
1037.11;13;118;0
1037.11;8;100;4
1044.94;15;120;3
