#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
47.19;1;47.19;47.19;-9586.85
50.51;4;50.51;50.51;-10065.97
56.41;3;56.41;56.41;-9999.96
57.4;1;57.4;57.4;-9605.58
58.77;0;58.77;58.77;-8841.07
66.43;3;66.43;19;-10943.76
67.39;1;67.39;19.97;-9774.76
69.04;0;69.04;18.45;-10688.42
75.65;2;75.65;75.65;-9702.17
76.61;3;76.61;20.08;-11289.06
77.65;1;77.65;30.23;-9371.83
77.93;4;77.93;77.93;-10089.06
79.28;0;79.28;20.46;-11001.89
85.48;2;85.48;38.06;-8738.95
87.06;3;87.06;20.46;-11446.96
87.93;1;87.93;30.47;-10441.2
89.23;0;89.23;89.23;-9254.58
96.15;2;48.73;20.46;-10248.47
97.29;3;97.29;20.55;-12440.31
97.9;1;97.9;30.39;-10753.17
98.07;4;98.07;47.48;-11043.08
99.45;0;99.45;22.3;-10306.62
107.57;3;107.57;107.57;-9918.23
107.94;1;107.94;107.94;-9560.33
109.82;0;109.82;30.5;-11567.16
112.4;4;112.4;112.4;-10078.8
116.27;2;116.27;116.27;-9638.25
117.85;3;117.85;21.65;-10263.27
120.28;0;120.28;120.28;-8898.93
126.36;2;126.36;126.36;-9589.72
127.9;3;127.9;30.37;-10362.11
136.81;2;136.81;40.61;-10318.03
138.06;3;138.06;30.25;-11069.9
138.15;1;138.15;41.95;-10910.26
140.32;0;140.32;30.46;-11420.84
142.5;4;64.52;34.68;-12178.4
147.06;2;147.06;147.06;-9658.02
148.14;3;148.14;148.14;-9695.37
148.19;1;148.19;148.19;-9264.09
152.82;4;152.82;152.82;-9920.28
158.09;3;158.09;158.09;-9845.76
160.92;0;160.92;160.92;-9228.93
167.33;2;167.33;167.33;-9643.94
168.28;1;168.28;60.22;-10881.37
170.96;0;170.96;18.06;-10841.91
173.21;4;173.21;32.64;-11863.35
177.62;2;177.62;40.76;-11873.97
178.8;1;178.8;41.95;-10279.77
183.28;4;183.28;85.14;-10127.74
187.71;2;187.71;187.71;-9650.51
189.39;1;189.39;51.2;-11431.55
193.07;0;193.07;193.07;-9108.4
197.5;2;197.5;19.76;-11621.34
198.08;3;198.08;50.8;-10871.86
199.5;1;199.5;199.5;-9204.58
203.08;0;203.08;19.75;-10540.73
207.87;2;207.87;207.87;-9618.33
208.4;3;208.4;60.21;-11218.75
213.2;4;75.1;41.92;-10798.69
215.83;0;215.83;95.5;-10091.79
218.79;3;218.79;218.79;-9822.92
