#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;63;0;0;0;0;0;0.8
59.66;0;62;0;54.39;0;59.66;0;0.77
119.59;0;61;0;93.69;0;114.14;0;0.75
179.66;0;59;0;99.33;0;174.21;0;0.67
239.71;0;56;0;99.17;0;234.26;0;0.61
299.9;0;54;0;117.08;0;294.44;0;0.6
359.76;0;52;0;134.47;0;359.76;0;0.55
419.76;0;49;0;128.07;0;419.76;0;0.53
479.89;27;45;0;102.21;0;479.89;0;0.68
539.89;27;43;0;113.24;0;539.89;0;0.69
599.98;27;39;0;102.75;0;599.98;0;0.92
